episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Always NPCA,0,100,382,300.0,2.9999999999999964,0.0,,0.0,,,,,
1,Always NPCA,0,100,376,336.0,175.0,0.0,,0.0,,,,,
2,Always NPCA,0,100,683,0.0,0.0,0.0,,0.0,,,,,
3,Always NPCA,0,100,956,0.0,0.0,0.0,,0.0,,,,,
4,Always NPCA,0,100,726,0.0,0.0,0.0,,0.0,,,,,
5,Always NPCA,0,100,396,344.0,92.0,0.0,,0.0,,,,,
6,Always NPCA,0,100,457,0.0,0.0,0.0,,0.0,,,,,
7,Always NPCA,0,100,663,0.0,0.0,0.0,,0.0,,,,,
8,Always NPCA,0,100,529,0.0,0.0,0.0,,0.0,,,,,
9,Always NPCA,0,100,793,0.0,0.0,0.0,,0.0,,,,,
0,Never NPCA,0,100,595,0.0,0.0,0.0,,0.0,,,,,
1,Never NPCA,0,100,917,0.0,0.0,0.0,,0.0,,,,,
2,Never NPCA,0,100,549,235.1,299.45,0.0,,0.0,,,,,
3,Never NPCA,0,100,569,0.0,0.0,0.0,,0.0,,,,,
4,Never NPCA,0,100,528,0.0,0.0,0.0,,0.0,,,,,
5,Never NPCA,0,100,541,0.0,0.0,0.0,,0.0,,,,,
6,Never NPCA,0,100,756,0.0,0.0,0.0,,0.0,,,,,
7,Never NPCA,0,100,363,0.0,0.0,0.0,,0.0,,,,,
8,Never NPCA,0,100,851,0.0,0.0,0.0,,0.0,,,,,
9,Never NPCA,0,100,966,0.0,0.0,0.0,,0.0,,,,,
0,Rule-based,0,100,644,0.0,0.0,0.0,,0.0,,,,,
1,Rule-based,0,100,463,314.0,151.29999999999998,0.0,,0.0,,,,,
2,Rule-based,0,100,580,0.0,0.0,0.0,,0.0,,,,,
3,Rule-based,0,100,668,0.0,0.0,0.0,,0.0,,,,,
4,Rule-based,0,100,878,0.0,0.0,0.0,,0.0,,,,,
5,Rule-based,0,100,718,0.0,0.0,0.0,,0.0,,,,,
6,Rule-based,0,100,633,0.0,0.0,0.0,,0.0,,,,,
7,Rule-based,0,100,860,0.0,0.0,0.0,,0.0,,,,,
8,Rule-based,0,100,633,0.0,0.0,0.0,,0.0,,,,,
9,Rule-based,0,100,591,270.4,51.79999999999998,0.0,,0.0,,,,,
0,Fixed DRL,0,100,445,0.0,0.0,0.0,0.9,0.0,,,,,
1,Fixed DRL,0,100,580,0.0,0.0,0.0,0.9,0.0,,,,,
2,Fixed DRL,0,100,489,0.0,0.0,0.0,0.9,0.0,,,,,
3,Fixed DRL,0,100,725,0.0,0.0,0.0,0.9,0.0,,,,,
4,Fixed DRL,0,100,681,0.0,0.0,0.0,0.9,0.0,,,,,
5,Fixed DRL,0,100,730,0.0,0.0,0.0,0.9,0.0,,,,,
6,Fixed DRL,0,100,712,0.0,0.0,0.0,0.9,0.0,,,,,
7,Fixed DRL,0,100,546,0.0,0.0,0.0,0.9,0.0,,,,,
8,Fixed DRL,0,100,608,0.0,0.0,0.0,0.9,0.0,,,,,
9,Fixed DRL,0,100,442,255.8,169.1,0.0,0.9,0.3,,,,,
0,LLM-DRL,0,100,322,338.6666666666667,-17.800000000000004,0.0,0.9,0.3333333333333333,,,,,
1,LLM-DRL,0,100,1433,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
2,LLM-DRL,0,100,652,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
3,LLM-DRL,0,100,508,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
4,LLM-DRL,0,100,541,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
5,LLM-DRL,0,100,377,206.0,290.00000000000006,0.0,0.8974538211778671,0.7,,,,,
6,LLM-DRL,0,100,715,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
7,LLM-DRL,0,100,756,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
8,LLM-DRL,0,100,660,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
9,LLM-DRL,0,100,449,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
