episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Always NPCA,0,100,382,300.0,2.9999999999999964,0.0,,0.0,,,,,
1,Always NPCA,0,100,376,336.0,175.0,0.0,,0.0,,,,,
2,Always NPCA,0,100,683,0.0,0.0,0.0,,0.0,,,,,
3,Always NPCA,0,100,956,0.0,0.0,0.0,,0.0,,,,,
4,Always NPCA,0,100,726,0.0,0.0,0.0,,0.0,,,,,
5,Always NPCA,0,100,396,344.0,92.0,0.0,,0.0,,,,,
6,Always NPCA,0,100,457,0.0,0.0,0.0,,0.0,,,,,
7,Always NPCA,0,100,663,0.0,0.0,0.0,,0.0,,,,,
8,Always NPCA,0,100,529,0.0,0.0,0.0,,0.0,,,,,
9,Always NPCA,0,100,793,0.0,0.0,0.0,,0.0,,,,,
