episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Fixed DRL,0,100,445,0.0,0.0,0.0,0.9,0.0,,,,,
1,Fixed DRL,0,100,580,0.0,0.0,0.0,0.9,0.0,,,,,
2,Fixed DRL,0,100,489,0.0,0.0,0.0,0.9,0.0,,,,,
3,Fixed DRL,0,100,725,0.0,0.0,0.0,0.9,0.0,,,,,
4,Fixed DRL,0,100,681,0.0,0.0,0.0,0.9,0.0,,,,,
5,Fixed DRL,0,100,730,0.0,0.0,0.0,0.9,0.0,,,,,
6,Fixed DRL,0,100,712,0.0,0.0,0.0,0.9,0.0,,,,,
7,Fixed DRL,0,100,546,0.0,0.0,0.0,0.9,0.0,,,,,
8,Fixed DRL,0,100,608,0.0,0.0,0.0,0.9,0.0,,,,,
9,Fixed DRL,0,100,442,255.8,169.1,0.0,0.9,0.3,,,,,
