episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,LLM-DRL,0,100,322,338.6666666666667,-17.800000000000004,0.0,0.9,0.3333333333333333,,,,,
1,LLM-DRL,0,100,1433,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
2,LLM-DRL,0,100,652,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
3,LLM-DRL,0,100,508,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
4,LLM-DRL,0,100,541,0.0,0.0,0.0,0.8974538211778671,0.0,,,,,
5,LLM-DRL,0,100,377,206.0,290.00000000000006,0.0,0.8974538211778671,0.7,,,,,
6,LLM-DRL,0,100,715,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
7,LLM-DRL,0,100,756,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
8,LLM-DRL,0,100,660,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
9,LLM-DRL,0,100,449,0.0,0.0,0.0,0.8890215147672444,0.0,,,,,
