episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Never NPCA,0,100,595,0.0,0.0,0.0,,0.0,,,,,
1,Never NPCA,0,100,917,0.0,0.0,0.0,,0.0,,,,,
2,Never NPCA,0,100,549,235.1,299.45,0.0,,0.0,,,,,
3,Never NPCA,0,100,569,0.0,0.0,0.0,,0.0,,,,,
4,Never NPCA,0,100,528,0.0,0.0,0.0,,0.0,,,,,
5,Never NPCA,0,100,541,0.0,0.0,0.0,,0.0,,,,,
6,Never NPCA,0,100,756,0.0,0.0,0.0,,0.0,,,,,
7,Never NPCA,0,100,363,0.0,0.0,0.0,,0.0,,,,,
8,Never NPCA,0,100,851,0.0,0.0,0.0,,0.0,,,,,
9,Never NPCA,0,100,966,0.0,0.0,0.0,,0.0,,,,,
