episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Rule-based,0,100,644,0.0,0.0,0.0,,0.0,,,,,
1,Rule-based,0,100,463,314.0,151.29999999999998,0.0,,0.0,,,,,
2,Rule-based,0,100,580,0.0,0.0,0.0,,0.0,,,,,
3,Rule-based,0,100,668,0.0,0.0,0.0,,0.0,,,,,
4,Rule-based,0,100,878,0.0,0.0,0.0,,0.0,,,,,
5,Rule-based,0,100,718,0.0,0.0,0.0,,0.0,,,,,
6,Rule-based,0,100,633,0.0,0.0,0.0,,0.0,,,,,
7,Rule-based,0,100,860,0.0,0.0,0.0,,0.0,,,,,
8,Rule-based,0,100,633,0.0,0.0,0.0,,0.0,,,,,
9,Rule-based,0,100,591,270.4,51.79999999999998,0.0,,0.0,,,,,
