episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,LLM-DRL,1,100,15713,654.265306122449,2899.0499999999997,0.0,0.9,0.7142857142857143,,,,,
1,LLM-DRL,1,100,16445,864.2,610.9,0.0,0.8593539602437291,0.4,,,,,
2,LLM-DRL,1,100,18030,751.4545454545455,624.7000000000002,0.0,0.8513007537835348,0.6363636363636364,,,,,
3,LLM-DRL,1,100,15454,824.45,1280.5500000000002,0.0,0.842534746920056,0.25,,,,,
4,LLM-DRL,1,100,18462,0.0,0.0,0.0,0.826841507480544,0.0,,,,,
5,LLM-DRL,1,100,15574,485.74074074074076,1213.2499999999998,0.0,0.826841507480544,0.48148148148148145,,,,,
6,LLM-DRL,1,100,16865,0.0,0.0,0.0,0.8061474141888997,0.0,,,,,
7,LLM-DRL,1,100,17131,631.3333333333334,607.9,0.0,0.8061474141888997,0.7777777777777778,,,,,
8,LLM-DRL,1,100,15283,640.1428571428571,1551.8,0.0029897771310061216,0.7993726197659037,0.5,,,,,
9,LLM-DRL,1,100,18766,432.1,374.95,0.002879684635748466,0.7786812178597389,0.8,,,,,
10,LLM-DRL,1,100,18674,655.0,812.4999999999999,0.0023195644995818534,0.7714307185981758,0.6,,,,,
11,LLM-DRL,1,100,17813,642.4074074074074,1987.75,0.0020064524530122676,0.7642523630096667,0.5925925925925926,,,,,
12,LLM-DRL,1,100,15780,569.5581395348837,3195.45,0.0018187271974359949,0.7452255668207806,0.6511627906976745,,,,,
13,LLM-DRL,1,100,17757,498.8333333333333,675.6999999999999,0.0018545594454432528,0.7159644891234331,0.8333333333333334,,,,,
14,LLM-DRL,1,100,17131,395.9032258064516,2152.35,0.0016861263429746032,0.7080206734734111,0.41935483870967744,,,,,
15,LLM-DRL,1,100,16510,522.09375,1833.6499999999999,0.0017520080630977948,0.6879349695115078,0.40625,,,,,
16,LLM-DRL,1,100,17674,0.0,0.0,0.0018083186587318778,0.6678442169103875,0.0,,,,,
17,LLM-DRL,1,100,16489,405.0,-4.5,0.001600137329660356,0.6678442169103875,0.5,,,,,
18,LLM-DRL,1,100,17415,661.5,703.25,0.0016478216275572777,0.66660976334162,0.2,,,,,
19,LLM-DRL,1,100,15564,675.5714285714286,1273.6499999999999,0.0016500531540562708,0.6604743936844848,0.5238095238095238,,,,,
20,LLM-DRL,1,100,16873,713.9677419354839,2014.35,0.0017693282570689917,0.6477881036798898,0.22580645161290322,,,,,
21,LLM-DRL,1,100,17160,500.54545454545456,804.7,0.0016242555575445294,0.629540964393092,0.5454545454545454,,,,,
22,LLM-DRL,1,100,16673,922.25,715.65,0.0017130210374792416,0.6232009478043776,0.16666666666666666,,,,,
23,LLM-DRL,1,100,16812,682.6,749.4000000000001,0.001565217156894505,0.6163636423111535,0.4,,,,,
24,LLM-DRL,1,100,17653,657.1818181818181,652.55,0.001503342529758811,0.6051488908025743,0.36363636363636365,,,,,
25,LLM-DRL,1,100,16366,495.0,954.75,0.001623855554498732,0.5990757166990309,0.7272727272727273,,,,,
26,LLM-DRL,1,100,15623,676.15,1454.85,0.0015667379290486376,0.5930689814271288,0.6,,,,,
27,LLM-DRL,1,100,16781,0.0,0.0,0.0015438150924940903,0.5823154951089226,0.0,,,,,
28,LLM-DRL,1,100,16939,647.05,1279.95,0.0014933916584899027,0.5823154951089226,0.45,,,,,
29,LLM-DRL,1,100,17009,0.0,0.0,0.0015294736173624794,0.5717749420863946,0.0,,,,,
30,LLM-DRL,1,100,17330,778.5769230769231,1610.8500000000001,0.0015866383910179138,0.5717749420863946,0.38461538461538464,,,,,
31,LLM-DRL,1,100,16175,682.1538461538462,924.6,0.001495268118257324,0.5583836349533472,0.6153846153846154,,,,,
32,LLM-DRL,1,100,18977,100.0,78.0,0.0015319402640064557,0.5518174205663944,1.0,,,,,
33,LLM-DRL,1,100,15494,685.0,673.25,0.0014708293213819463,0.5513158539709229,0.36363636363636365,,,,,
34,LLM-DRL,1,100,16290,815.8571428571429,1532.35,0.00148050036902229,0.545831598282993,0.5714285714285714,,,,,
35,LLM-DRL,1,100,17188,579.2,1220.9999999999998,0.0015277080237865448,0.5355277042714927,0.52,,,,,
36,LLM-DRL,1,100,16273,730.7,764.6500000000001,0.0015257832516605656,0.5235399825403478,0.7,,,,,
37,LLM-DRL,1,100,17565,601.95,1373.0500000000002,0.0015577725522841017,0.5188281809876554,0.65,,,,,
38,LLM-DRL,1,100,18160,499.57142857142856,1246.45,0.0015612486361836393,0.5095447610129191,0.47619047619047616,,,,,
39,LLM-DRL,1,100,17142,484.6,850.6999999999999,0.001491659980577727,0.49999494505239034,0.3,,,,,
40,LLM-DRL,1,100,18216,682.9166666666666,546.25,0.0015300031906614702,0.4955174205370851,0.4166666666666667,,,,,
41,LLM-DRL,1,100,17913,470.27272727272725,633.3500000000001,0.0014978617740174134,0.49020316081990667,0.8181818181818182,,,,,
42,LLM-DRL,1,100,17031,651.4761904761905,1369.95,0.0013760865743582447,0.48538746095833535,0.38095238095238093,,,,,
43,LLM-DRL,1,100,18880,721.9,910.05,0.001495480847855409,0.4763396587061472,0.6,,,,,
44,LLM-DRL,1,100,17752,686.8,688.6,0.0014014138917749126,0.4720975082226981,0.2,,,,,
45,LLM-DRL,1,100,15312,565.3157894736842,2270.9,0.0014256824118395646,0.4678975678418203,0.47368421052631576,,,,,
46,LLM-DRL,1,100,16246,0.0,0.0,0.001460943332252403,0.4523153965282784,0.0,,,,,
47,LLM-DRL,1,100,17495,427.9,561.05,0.0013983684281508129,0.4523153965282784,0.5,,,,,
48,LLM-DRL,1,100,16940,856.1904761904761,1090.9999999999998,0.0014409919967874885,0.4483122914475527,0.7142857142857143,,,,,
49,LLM-DRL,1,100,16461,2491.0,-108.55000000000001,0.0014362791165088613,0.4400349496065613,0.0,,,,,
50,LLM-DRL,1,100,17069,591.8181818181819,639.5,0.0014118013981108863,0.43964510960944,0.36363636363636365,1.2,0.08,0.08,0.05,balanced
51,LLM-DRL,1,100,18277,678.3,349.84999999999997,0.0013714982972790797,0.4353825007337718,0.4,1.2,0.08,0.08,0.05,balanced
52,LLM-DRL,1,100,17641,637.75,1224.2500000000002,0.0013265064529453714,0.4315478807813094,0.4,1.2,0.08,0.08,0.05,balanced
53,LLM-DRL,1,100,16574,589.5714285714286,1348.95,0.0013195959230264027,0.42399272654484355,0.3333333333333333,1.2,0.08,0.08,0.05,balanced
54,LLM-DRL,1,100,17209,420.8181818181818,560.55,0.0012791889797275264,0.4162207704437507,0.6363636363636364,1.2,0.08,0.08,0.05,balanced
55,LLM-DRL,1,100,16999,596.7272727272727,586.7999999999998,0.0013437065063044429,0.4122144173084264,0.5454545454545454,1.2,0.08,0.08,0.05,balanced
56,LLM-DRL,1,100,15813,736.3125,956.95,0.0013092213387911518,0.40825189255953,0.4375,1.2,0.08,0.08,0.05,balanced
57,LLM-DRL,1,100,17902,514.9,927.5500000000001,0.0012942173440630238,0.40256547492934414,0.4,1.2,0.08,0.08,0.05,balanced
58,LLM-DRL,1,100,18936,502.05,1718.95,0.001223356385404865,0.3990573898394937,0.45,1.2,0.08,0.08,0.05,balanced
59,LLM-DRL,1,100,17082,622.1428571428571,716.4999999999999,0.0013293592880169551,0.39214559042859054,0.5714285714285714,1.2,0.08,0.08,0.05,balanced
60,LLM-DRL,1,100,16479,493.0,574.8499999999999,0.0012632595608010888,0.3873889265020001,0.6363636363636364,1.2,0.08,0.08,0.05,balanced
61,LLM-DRL,1,100,17524,695.1538461538462,657.1499999999999,0.0012512626902510722,0.3836979857017906,0.23076923076923078,1.2,0.08,0.08,0.05,balanced
62,LLM-DRL,1,100,17487,957.0,-8.700000000000003,0.0012756451809157927,0.3793879875744643,1.0,1.2,0.08,0.08,0.05,balanced
63,LLM-DRL,1,100,17042,799.7272727272727,825.1499999999999,0.0013273325360690553,0.378729869936326,0.5454545454545454,1.2,0.08,0.08,0.05,balanced
64,LLM-DRL,1,100,16062,426.9166666666667,698.85,0.0012273282433549564,0.3751336568010133,0.5,1.2,0.08,0.08,0.05,balanced
65,LLM-DRL,1,100,16298,777.5897435897435,2259.7,0.0012618156615644693,0.3712553691844403,0.5384615384615384,1.2,0.08,0.08,0.05,balanced
66,LLM-DRL,1,100,15473,542.0333333333333,1529.95,0.001258806752351423,0.35896757913021327,0.5666666666666667,1.2,0.08,0.08,0.05,balanced
