episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Never NPCA,1,100,16271,552.4102564102565,2293.8,0.0,,0.0,,,,,
1,Never NPCA,1,100,16373,3123.0,-124.15,0.0,,0.0,,,,,
2,Never NPCA,1,100,17725,455.0,146.75,0.0,,0.0,,,,,
3,Never NPCA,1,100,16120,819.7857142857143,998.1499999999999,0.0,,0.0,,,,,
4,Never NPCA,1,100,17111,956.7272727272727,887.8,0.0,,0.0,,,,,
5,Never NPCA,1,100,16292,2236.0,-94.80000000000001,0.0,,0.0,,,,,
6,Never NPCA,1,100,16652,685.8,872.1,0.0,,0.0,,,,,
7,Never NPCA,1,100,16266,745.3636363636364,549.05,0.0,,0.0,,,,,
8,Never NPCA,1,100,17379,523.5,634.9,0.0,,0.0,,,,,
9,Never NPCA,1,100,16681,1026.0,88.1,0.0,,0.0,,,,,
10,Never NPCA,1,100,16702,557.5483870967741,2182.8,0.0,,0.0,,,,,
11,Never NPCA,1,100,17409,423.4,607.3,0.0,,0.0,,,,,
12,Never NPCA,1,100,16542,682.7,300.65,0.0,,0.0,,,,,
13,Never NPCA,1,100,18517,0.0,0.0,0.0,,0.0,,,,,
14,Never NPCA,1,100,18007,611.5454545454545,686.65,0.0,,0.0,,,,,
15,Never NPCA,1,100,17938,1176.0,34.39999999999999,0.0,,0.0,,,,,
16,Never NPCA,1,100,15954,720.9090909090909,665.5,0.0,,0.0,,,,,
17,Never NPCA,1,100,16211,591.2903225806451,2076.5,0.0,,0.0,,,,,
18,Never NPCA,1,100,17419,853.2,1356.1,0.0,,0.0,,,,,
19,Never NPCA,1,100,16202,832.3,1223.7,0.0,,0.0,,,,,
20,Never NPCA,1,100,16231,640.05,1653.95,0.0,,0.0,,,,,
21,Never NPCA,1,100,17994,0.0,0.0,0.0,,0.0,,,,,
22,Never NPCA,1,100,17688,479.7,1869.3,0.0,,0.0,,,,,
23,Never NPCA,1,100,15252,684.0,680.9999999999999,0.0,,0.0,,,,,
24,Never NPCA,1,100,17112,617.6190476190476,1592.5,0.0,,0.0,,,,,
25,Never NPCA,1,100,16627,563.05,1312.9499999999998,0.0,,0.0,,,,,
26,Never NPCA,1,100,17932,810.65,1672.3500000000001,0.0,,0.0,,,,,
27,Never NPCA,1,100,15500,905.1304347826087,1365.1,0.0,,0.0,,,,,
28,Never NPCA,1,100,16391,423.6666666666667,649.8000000000001,0.0,,0.0,,,,,
29,Never NPCA,1,100,18731,0.0,0.0,0.0,,0.0,,,,,
30,Never NPCA,1,100,16837,676.75,1603.25,0.0,,0.0,,,,,
31,Never NPCA,1,100,15482,760.2,2026.7,0.0,,0.0,,,,,
32,Never NPCA,1,100,15971,564.2608695652174,775.0999999999999,0.0,,0.0,,,,,
33,Never NPCA,1,100,17538,599.3157894736842,1296.6499999999999,0.0,,0.0,,,,,
34,Never NPCA,1,100,17991,862.2857142857143,1392.6,0.0,,0.0,,,,,
35,Never NPCA,1,100,18923,0.0,0.0,0.0,,0.0,,,,,
36,Never NPCA,1,100,16451,728.9666666666667,2547.55,0.0,,0.0,,,,,
37,Never NPCA,1,100,17689,2110.0,-61.5,0.0,,0.0,,,,,
38,Never NPCA,1,100,16024,854.0714285714286,1042.15,0.0,,0.0,,,,,
39,Never NPCA,1,100,18086,704.7,591.65,0.0,,0.0,,,,,
40,Never NPCA,1,100,18524,0.0,0.0,0.0,,0.0,,,,,
41,Never NPCA,1,100,15523,677.0526315789474,1212.8,0.0,,0.0,,,,,
42,Never NPCA,1,100,18719,0.0,0.0,0.0,,0.0,,,,,
43,Never NPCA,1,100,17824,913.5833333333334,760.85,0.0,,0.0,,,,,
44,Never NPCA,1,100,16614,780.7,1066.65,0.0,,0.0,,,,,
45,Never NPCA,1,100,16266,697.047619047619,1388.1,0.0,,0.0,,,,,
46,Never NPCA,1,100,17157,560.95,1314.05,0.0,,0.0,,,,,
47,Never NPCA,1,100,18490,313.23809523809524,1130.1,0.0,,0.0,,,,,
48,Never NPCA,1,100,16206,711.0689655172414,1945.9499999999998,0.0,,0.0,,,,,
49,Never NPCA,1,100,17250,724.55,1234.45,0.0,,0.0,,,,,
50,Never NPCA,1,100,18122,863.3636363636364,971.1499999999999,0.0,,0.0,,,,,
51,Never NPCA,1,100,17575,602.9,629.5500000000001,0.0,,0.0,,,,,
52,Never NPCA,1,100,16370,613.8421052631579,904.8499999999999,0.0,,0.0,,,,,
53,Never NPCA,1,100,16593,0.0,0.0,0.0,,0.0,,,,,
54,Never NPCA,1,100,17126,664.6,1680.4,0.0,,0.0,,,,,
55,Never NPCA,1,100,18829,0.0,0.0,0.0,,0.0,,,,,
56,Never NPCA,1,100,17159,517.9411764705883,1945.5,0.0,,0.0,,,,,
57,Never NPCA,1,100,17019,528.6451612903226,1921.6000000000001,0.0,,0.0,,,,,
58,Never NPCA,1,100,16665,858.0,794.1000000000001,0.0,,0.0,,,,,
59,Never NPCA,1,100,15604,0.0,0.0,0.0,,0.0,,,,,
60,Never NPCA,1,100,17240,145.0,44.75,0.0,,0.0,,,,,
61,Never NPCA,1,100,16760,1880.5,-72.05000000000001,0.0,,0.0,,,,,
62,Never NPCA,1,100,16546,0.0,0.0,0.0,,0.0,,,,,
63,Never NPCA,1,100,15915,749.55,1699.45,0.0,,0.0,,,,,
64,Never NPCA,1,100,15517,784.1,658.95,0.0,,0.0,,,,,
65,Never NPCA,1,100,18406,1892.0,-21.60000000000001,0.0,,0.0,,,,,
66,Never NPCA,1,100,16778,737.9,788.0500000000001,0.0,,0.0,,,,,
67,Never NPCA,1,100,15240,649.85,1404.15,0.0,,0.0,,,,,
68,Never NPCA,1,100,17971,0.0,0.0,0.0,,0.0,,,,,
69,Never NPCA,1,100,18646,681.2727272727273,762.3,0.0,,0.0,,,,,
70,Never NPCA,1,100,16013,778.9666666666667,1739.5500000000002,0.0,,0.0,,,,,
71,Never NPCA,1,100,17458,448.7,1610.3,0.0,,0.0,,,,,
72,Never NPCA,1,100,15218,449.09090909090907,1057.0,0.0,,0.0,,,,,
73,Never NPCA,1,100,15379,0.0,0.0,0.0,,0.0,,,,,
74,Never NPCA,1,100,16924,574.3809523809524,1247.9,0.0,,0.0,,,,,
75,Never NPCA,1,100,17099,0.0,0.0,0.0,,0.0,,,,,
76,Never NPCA,1,100,18092,574.4,728.8000000000001,0.0,,0.0,,,,,
77,Never NPCA,1,100,15786,782.3846153846154,1785.9,0.0,,0.0,,,,,
78,Never NPCA,1,100,17910,0.0,0.0,0.0,,0.0,,,,,
79,Never NPCA,1,100,15663,549.1935483870968,1980.7499999999998,0.0,,0.0,,,,,
80,Never NPCA,1,100,16604,0.0,0.0,0.0,,0.0,,,,,
81,Never NPCA,1,100,17028,710.1,599.9499999999999,0.0,,0.0,,,,,
82,Never NPCA,1,100,16627,978.3636363636364,668.9,0.0,,0.0,,,,,
83,Never NPCA,1,100,17985,0.0,0.0,0.0,,0.0,,,,,
84,Never NPCA,1,100,16890,676.90625,2320.95,0.0,,0.0,,,,,
85,Never NPCA,1,100,17739,0.0,0.0,0.0,,0.0,,,,,
86,Never NPCA,1,100,17386,0.0,0.0,0.0,,0.0,,,,,
87,Never NPCA,1,100,17217,861.0,-43.050000000000004,0.0,,0.0,,,,,
88,Never NPCA,1,100,16659,368.0,1881.6,0.0,,0.0,,,,,
89,Never NPCA,1,100,15821,762.1666666666666,899.6999999999999,0.0,,0.0,,,,,
90,Never NPCA,1,100,15591,692.3913043478261,1992.4999999999998,0.0,,0.0,,,,,
91,Never NPCA,1,100,16027,695.5121951219512,2264.2,0.0,,0.0,,,,,
92,Never NPCA,1,100,15326,697.6774193548387,2104.5999999999995,0.0,,0.0,,,,,
93,Never NPCA,1,100,16700,803.8095238095239,1751.0,0.0,,0.0,,,,,
94,Never NPCA,1,100,16096,666.5833333333334,524.05,0.0,,0.0,,,,,
95,Never NPCA,1,100,15870,0.0,0.0,0.0,,0.0,,,,,
96,Never NPCA,1,100,15948,800.2857142857143,1696.7,0.0,,0.0,,,,,
97,Never NPCA,1,100,17544,547.0,917.35,0.0,,0.0,,,,,
98,Never NPCA,1,100,17119,605.0333333333333,2171.4500000000003,0.0,,0.0,,,,,
99,Never NPCA,1,100,15524,836.6,879.6999999999999,0.0,,0.0,,,,,
100,Never NPCA,1,100,17167,870.7,922.65,0.0,,0.0,,,,,
101,Never NPCA,1,100,15659,699.3,693.35,0.0,,0.0,,,,,
102,Never NPCA,1,100,16667,545.2258064516129,2257.9,0.0,,0.0,,,,,
103,Never NPCA,1,100,16600,447.25,2275.5,0.0,,0.0,,,,,
104,Never NPCA,1,100,19133,685.7272727272727,542.85,0.0,,0.0,,,,,
105,Never NPCA,1,100,16479,754.9,1618.1000000000001,0.0,,0.0,,,,,
106,Never NPCA,1,100,17061,542.1333333333333,839.4000000000001,0.0,,0.0,,,,,
107,Never NPCA,1,100,15703,736.6315789473684,1156.1999999999998,0.0,,0.0,,,,,
108,Never NPCA,1,100,16651,647.35,1812.65,0.0,,0.0,,,,,
109,Never NPCA,1,100,17300,699.8333333333334,338.09999999999997,0.0,,0.0,,,,,
110,Never NPCA,1,100,16986,761.0833333333334,573.3500000000001,0.0,,0.0,,,,,
111,Never NPCA,1,100,16898,671.2647058823529,1385.85,0.0,,0.0,,,,,
112,Never NPCA,1,100,16511,646.7,1901.95,0.0,,0.0,,,,,
113,Never NPCA,1,100,17801,0.0,0.0,0.0,,0.0,,,,,
114,Never NPCA,1,100,18950,0.0,0.0,0.0,,0.0,,,,,
115,Never NPCA,1,100,18630,601.1428571428571,967.8000000000001,0.0,,0.0,,,,,
116,Never NPCA,1,100,15645,595.9,735.0499999999998,0.0,,0.0,,,,,
117,Never NPCA,1,100,16097,747.2727272727273,712.0000000000001,0.0,,0.0,,,,,
118,Never NPCA,1,100,16039,100.0,81.0,0.0,,0.0,,,,,
119,Never NPCA,1,100,16766,609.8888888888889,1660.1000000000001,0.0,,0.0,,,,,
120,Never NPCA,1,100,16634,665.0333333333333,2533.45,0.0,,0.0,,,,,
121,Never NPCA,1,100,17217,3020.0,-69.0,0.0,,0.0,,,,,
122,Never NPCA,1,100,16564,588.35,1289.6499999999999,0.0,,0.0,,,,,
123,Never NPCA,1,100,16753,0.0,0.0,0.0,,0.0,,,,,
124,Never NPCA,1,100,17810,589.7,3192.6,0.0,,0.0,,,,,
125,Never NPCA,1,100,15490,780.7272727272727,485.59999999999997,0.0,,0.0,,,,,
126,Never NPCA,1,100,16900,655.0,6.25,0.0,,0.0,,,,,
127,Never NPCA,1,100,17603,310.3,533.8499999999999,0.0,,0.0,,,,,
128,Never NPCA,1,100,14955,878.3076923076923,606.1,0.0,,0.0,,,,,
129,Never NPCA,1,100,16787,795.8,999.1000000000001,0.0,,0.0,,,,,
130,Never NPCA,1,100,15885,806.7,1583.3000000000002,0.0,,0.0,,,,,
131,Never NPCA,1,100,16745,653.375,2038.5999999999997,0.0,,0.0,,,,,
132,Never NPCA,1,100,16454,555.2727272727273,806.6,0.0,,0.0,,,,,
133,Never NPCA,1,100,15868,815.7,795.15,0.0,,0.0,,,,,
134,Never NPCA,1,100,15969,1179.0,55.099999999999994,0.0,,0.0,,,,,
135,Never NPCA,1,100,16626,665.6,1964.2,0.0,,0.0,,,,,
136,Never NPCA,1,100,15749,585.625,2895.75,0.0,,0.0,,,,,
137,Never NPCA,1,100,17065,531.7,676.15,0.0,,0.0,,,,,
138,Never NPCA,1,100,15793,686.1935483870968,1964.4,0.0,,0.0,,,,,
