episode,method,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,Rule-based,2,100,17041,761.3,808.35,0.0,,0.0,,,,,
1,Rule-based,2,100,16147,647.3529411764706,1137.75,0.0,,0.0,,,,,
2,Rule-based,2,100,17141,529.6666666666666,986.3999999999999,0.0,,0.0,,,,,
3,Rule-based,2,100,17954,671.1,1116.9,0.0,,0.0,,,,,
4,Rule-based,2,100,17510,0.0,0.0,0.0,,0.0,,,,,
5,Rule-based,2,100,17078,545.448275862069,2323.1,0.0,,0.0,,,,,
6,Rule-based,2,100,18176,0.0,0.0,0.0,,0.0,,,,,
7,Rule-based,2,100,17617,1294.0,108.59999999999998,0.0,,0.0,,,,,
8,Rule-based,2,100,16166,561.9090909090909,603.95,0.0,,0.0,,,,,
9,Rule-based,2,100,16413,1164.0,-55.40000000000001,0.0,,0.0,,,,,
10,Rule-based,2,100,19312,0.0,0.0,0.0,,0.0,,,,,
11,Rule-based,2,100,16687,735.8,2611.4,0.0,,0.0,,,,,
12,Rule-based,2,100,17171,778.1904761904761,1295.8999999999999,0.0,,0.0,,,,,
13,Rule-based,2,100,17905,650.0,-5.5,0.0,,0.0,,,,,
14,Rule-based,2,100,16049,651.5,1531.5,0.0,,0.0,,,,,
15,Rule-based,2,100,17319,378.0,25.099999999999998,0.0,,0.0,,,,,
16,Rule-based,2,100,16798,614.55,1470.45,0.0,,0.0,,,,,
17,Rule-based,2,100,17302,783.0909090909091,974.3,0.0,,0.0,,,,,
18,Rule-based,2,100,15236,744.3953488372093,2576.5499999999997,0.0,,0.0,,,,,
19,Rule-based,2,100,18015,826.0,-15.300000000000004,0.0,,0.0,,,,,
20,Rule-based,2,100,17881,0.0,0.0,0.0,,0.0,,,,,
21,Rule-based,2,100,17201,553.0,58.349999999999994,0.0,,0.0,,,,,
22,Rule-based,2,100,16718,360.0,-3.0,0.0,,0.0,,,,,
23,Rule-based,2,100,15594,770.0,1185.5,0.0,,0.0,,,,,
24,Rule-based,2,100,16081,559.9375,848.0499999999998,0.0,,0.0,,,,,
25,Rule-based,2,100,17109,982.5,57.74999999999999,0.0,,0.0,,,,,
26,Rule-based,2,100,17910,0.0,0.0,0.0,,0.0,,,,,
27,Rule-based,2,100,17546,0.0,0.0,0.0,,0.0,,,,,
28,Rule-based,2,100,17755,543.3333333333334,1991.9999999999995,0.0,,0.0,,,,,
29,Rule-based,2,100,15243,844.1666666666666,965.4999999999999,0.0,,0.0,,,,,
30,Rule-based,2,100,17549,349.0,15.55,0.0,,0.0,,,,,
31,Rule-based,2,100,14189,625.78125,1260.75,0.0,,0.0,,,,,
32,Rule-based,2,100,16838,511.27272727272725,884.8,0.0,,0.0,,,,,
33,Rule-based,2,100,15662,629.7096774193549,2445.95,0.0,,0.0,,,,,
34,Rule-based,2,100,17004,634.0,2030.5999999999997,0.0,,0.0,,,,,
35,Rule-based,2,100,16881,719.2142857142857,725.55,0.0,,0.0,,,,,
36,Rule-based,2,100,15981,652.952380952381,1127.4,0.0,,0.0,,,,,
37,Rule-based,2,100,17496,818.8,991.6,0.0,,0.0,,,,,
38,Rule-based,2,100,17173,416.1818181818182,255.09999999999997,0.0,,0.0,,,,,
