episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,balanced,1,100,16615,644.3846153846154,395.15,0.0,0.9,0.46153846153846156,,,,,
1,balanced,1,100,17321,612.1333333333333,1992.8,0.0,0.8890215147672444,0.36666666666666664,,,,,
2,balanced,1,100,15168,828.5,796.75,0.0,0.8642246815569761,0.5,,,,,
3,balanced,1,100,17812,588.0952380952381,1346.5,0.0,0.8561230106099534,0.47619047619047616,,,,,
4,balanced,1,100,16031,574.9310344827586,2364.35,0.0,0.8393709397650941,0.4482758620689655,,,,,
5,balanced,1,100,16459,490.9183673469388,3002.25,0.0017286148698379595,0.8168079274592891,0.3877551020408163,,,,,
6,balanced,1,100,16653,508.5483870967742,2372.75,0.0014129293461640675,0.780140038629955,0.3870967741935484,,,,,
7,balanced,1,100,17195,1031.6666666666667,-90.75,0.0012191003576541941,0.7578529323765273,0.0,,,,,
8,balanced,1,100,16011,638.8571428571429,2147.0,0.0009019952267408371,0.7557325557346428,0.2857142857142857,,,,,
9,balanced,1,100,17569,626.5,1508.5,0.000784141729430606,0.731459178246666,0.35,,,,,
10,balanced,1,100,15789,552.4705882352941,1823.7999999999997,0.0006256375927478075,0.7179653824300938,0.35294117647058826,,,,,
11,balanced,1,100,18096,0.0,0.0,0.00046736143607025343,0.6956363047412232,0.0,,,,,
12,balanced,1,100,16753,0.0,0.0,0.0004534099716693163,0.6956363047412232,0.0,,,,,
13,balanced,1,100,16235,633.7391304347826,1350.2,0.0004123568845291932,0.6956363047412232,0.30434782608695654,,,,,
14,balanced,1,100,18660,480.22727272727275,1486.75,0.0003384963395850112,0.6809561387856082,0.3181818181818182,,,,,
15,balanced,1,100,16615,555.939393939394,1599.6999999999998,0.0003313295989452551,0.6672266815126373,0.5757575757575758,,,,,
16,balanced,1,100,15413,313.9,309.04999999999995,0.00035022439745565254,0.6471906143706554,0.4,,,,,
17,balanced,1,100,16052,685.1,1733.8999999999999,0.00029697651431585353,0.6412484684742309,0.35,,,,,
18,balanced,1,100,15994,628.8,815.6,0.000301525869872421,0.629540964393092,0.6,,,,,
19,balanced,1,100,17031,857.3333333333334,853.5999999999999,0.00030874677274065715,0.6237744354482132,0.5,,,,,
20,balanced,1,100,15378,701.3809523809524,1497.55,0.00031344258847335976,0.6169302892297033,0.5714285714285714,,,,,
21,balanced,1,100,16801,1280.0,137.99999999999997,0.00030611664017972845,0.6051488908025743,0.3333333333333333,,,,,
22,balanced,1,100,16452,663.7666666666667,2560.3500000000004,0.00030416295824882883,0.6034859398038777,0.5666666666666667,,,,,
23,balanced,1,100,16556,589.7272727272727,1728.3,0.0003313949758497377,0.5871279581645715,0.5,,,,,
24,balanced,1,100,17509,488.5,243.29999999999998,0.00029919711717714864,0.575440180047487,0.25,,,,,
