episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,throughput_hungry,1,100,17975,334.0,664.3000000000001,0.0,0.9,0.6363636363636364,,,,,
1,throughput_hungry,1,100,17889,0.0,0.0,0.0,0.8907012369590634,0.0,,,,,
2,throughput_hungry,1,100,16123,592.3448275862069,1425.1,0.0,0.8907012369590634,0.6206896551724138,,,,,
3,throughput_hungry,1,100,16110,100.0,59.0,0.0,0.8666710232794748,1.0,,,,,
4,throughput_hungry,1,100,17062,470.8,398.6,0.0,0.865854760455629,0.5,,,,,
5,throughput_hungry,1,100,17151,670.75,634.5500000000001,0.0,0.8577368699525629,0.6666666666666666,,,,,
6,throughput_hungry,1,100,17221,448.42105263157896,1258.0,0.0,0.8481019526357633,0.631578947368421,,,,,
7,throughput_hungry,1,100,15805,441.06666666666666,125.19999999999999,0.0,0.8330811648918964,0.6666666666666666,,,,,
8,throughput_hungry,1,100,16046,395.2,248.39999999999998,0.0,0.8214226052132818,0.6,,,,,
9,throughput_hungry,1,100,16787,414.4,354.8,0.0,0.8137468220417597,0.4,,,,,
10,throughput_hungry,1,100,16972,640.4782608695652,1765.45,0.0005013349582441151,0.8061474141888997,0.6521739130434783,,,,,
11,throughput_hungry,1,100,16488,598.9,727.55,0.00035192500217817724,0.788954500088985,0.5,,,,,
12,throughput_hungry,1,100,17039,0.0,0.0,0.00024100521598787358,0.7816017799612992,0.0,,,,,
13,throughput_hungry,1,100,17024,573.6315789473684,924.0500000000001,0.0002096781536238268,0.7816017799612992,0.7368421052631579,,,,,
14,throughput_hungry,1,100,17303,416.96774193548384,2124.7,0.00019664731128917387,0.7678325678781293,0.7096774193548387,,,,,
15,throughput_hungry,1,100,17739,787.9473684210526,1062.45,0.00018790555865659067,0.7459211401162845,0.6842105263157895,,,,,
16,throughput_hungry,1,100,18389,752.8,600.5999999999999,0.00016980007543073347,0.7328234604305826,0.2,,,,,
17,throughput_hungry,1,100,16805,393.76190476190476,963.55,0.00019596958979188153,0.7260292534793299,0.38095238095238093,,,,,
18,throughput_hungry,1,100,17702,0.0,0.0,0.00018587614370820424,0.7119806656106942,0.0,,,,,
19,throughput_hungry,1,100,17706,457.04761904761904,1548.1000000000001,0.00017065445717889816,0.7119806656106942,0.38095238095238093,,,,,
20,throughput_hungry,1,100,15537,614.625,1885.6,0.00017854230342588076,0.6982240219443056,0.34375,,,,,
21,throughput_hungry,1,100,16747,507.85,1164.15,0.0001469391912299519,0.6778092319149103,0.45,,,,,
22,throughput_hungry,1,100,16890,399.7,1576.3000000000002,0.00014757611885822067,0.665377776212728,0.85,,,,,
23,throughput_hungry,1,100,17185,0.0,0.0,0.00018848013132810593,0.6531924798261775,0.0,,,,,
