episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,latency_sensitive,0,20-200,296,183.83333333333334,240.85,0.0,0.9,0.5,,,,,
1,latency_sensitive,0,20-200,250,242.0,297.6,0.0,0.894915269445845,0.0,,,,,
2,latency_sensitive,0,20-200,358,360.25,281.95,0.0,0.8915423586867929,0.0,,,,,
3,latency_sensitive,0,20-200,592,0.0,0.0,0.0,0.8881829126234326,0.0,,,,,
4,latency_sensitive,0,20-200,315,160.375,318.85,0.0,0.8881829126234326,0.625,,,,,
5,latency_sensitive,0,20-200,142,311.75,119.64999999999999,0.0,0.8815041997935286,0.5,,,,,
6,latency_sensitive,0,20-200,474,0.0,0.0,0.0,0.878184826167437,0.0,,,,,
7,latency_sensitive,0,20-200,678,112.33333333333333,146.15,0.0,0.878184826167437,0.0,,,,,
8,latency_sensitive,0,20-200,473,248.25,271.34999999999997,0.0,0.8757039947966141,0.25,,,,,
9,latency_sensitive,0,20-200,359,208.0,22.6,0.0,0.8724077756506773,1.0,,,,,
0,throughput_hungry,0,20-200,315,162.4,291.4,0.0,0.9,1.0,,,,,
1,throughput_hungry,0,20-200,515,30.0,340.0,0.0,0.89576060731378,1.0,,,,,
2,throughput_hungry,0,20-200,142,192.88888888888889,88.19999999999999,0.0,0.8923843219569512,0.8888888888888888,,,,,
3,throughput_hungry,0,20-200,325,147.77777777777777,306.5,0.0,0.8848368775045556,0.3333333333333333,,,,,
4,throughput_hungry,0,20-200,412,0.0,0.0,0.0,0.8773570552956863,0.0,,,,,
5,throughput_hungry,0,20-200,376,191.5,365.4,0.0,0.8773570552956863,0.5,,,,,
6,throughput_hungry,0,20-200,380,177.5,132.5,0.0,0.8707646038189315,0.5,,,,,
7,throughput_hungry,0,20-200,448,0.0,0.0,0.0,0.8674881027744118,0.0,,,,,
8,throughput_hungry,0,20-200,524,235.25,303.95,0.0,0.8674881027744118,0.5,,,,,
9,throughput_hungry,0,20-200,659,72.0,29.4,0.0,0.8642246815569761,1.0,,,,,
0,energy_saving,0,20-200,426,223.33333333333334,366.0,0.0,0.9,0.6666666666666666,,,,,
1,energy_saving,0,20-200,584,0.0,0.0,0.0,0.894915269445845,0.0,,,,,
2,energy_saving,0,20-200,286,120.0,40.0,0.0,0.894915269445845,1.0,,,,,
3,energy_saving,0,20-200,347,250.25,81.95,0.0,0.8940707764932498,0.75,,,,,
4,energy_saving,0,20-200,559,0.0,0.0,0.0,0.8907012369590634,0.0,,,,,
5,energy_saving,0,20-200,343,195.75,92.85,0.0,0.8907012369590634,0.25,,,,,
6,energy_saving,0,20-200,120,256.3333333333333,55.099999999999994,0.0,0.8873451486626033,0.3333333333333333,,,,,
7,energy_saving,0,20-200,473,0.0,0.0,0.0,0.8823361198840407,0.0,,,,,
8,energy_saving,0,20-200,433,33.0,-1.6500000000000001,0.0,0.8823361198840407,1.0,,,,,
9,energy_saving,0,20-200,515,0.0,0.0,0.0,0.8815041997935286,0.0,,,,,
0,balanced,0,20-200,379,219.8,129.05,0.0,0.9,0.8,,,,,
1,balanced,0,20-200,408,0.0,0.0,0.0,0.89576060731378,0.0,,,,,
2,balanced,0,20-200,296,183.5,386.6,0.0,0.89576060731378,0.5,,,,,
3,balanced,0,20-200,518,23.0,309.4,0.0,0.8890215147672444,0.25,,,,,
4,balanced,0,20-200,506,0.0,0.0,0.0,0.8856721319396732,0.0,,,,,
5,balanced,0,20-200,429,84.0,346.20000000000005,0.0,0.8856721319396732,0.5,,,,,
6,balanced,0,20-200,419,67.0,266.59999999999997,0.0,0.8823361198840407,0.5,,,,,
7,balanced,0,20-200,385,79.4,165.15,0.0,0.8790134252240828,0.6,,,,,
8,balanced,0,20-200,478,0.0,0.0,0.0,0.874878703516232,0.0,,,,,
9,balanced,0,20-200,158,239.75,323.1,0.0,0.874878703516232,0.375,,,,,
0,fixed_drl,0,20-200,89,248.5,157.6,0.0,0.9,0.5,,,,,
1,fixed_drl,0,20-200,290,125.75,231.85,0.0,0.8932271276115016,0.25,,,,,
2,fixed_drl,0,20-200,132,208.75,180.24999999999997,0.0,0.8898609559326409,0.25,,,,,
3,fixed_drl,0,20-200,99,215.16666666666666,-31.55,0.0,0.8865082220469924,0.6666666666666666,,,,,
4,fixed_drl,0,20-200,415,66.0,191.79999999999998,0.0,0.8815041997935286,1.0,,,,,
5,fixed_drl,0,20-200,66,323.5,67.94999999999999,0.0,0.878184826167437,0.6666666666666666,,,,,
6,fixed_drl,0,20-200,606,0.0,0.0,0.0,0.873230594767318,0.0,,,,,
7,fixed_drl,0,20-200,625,0.0,0.0,0.0,0.873230594767318,0.0,,,,,
8,fixed_drl,0,20-200,287,241.83333333333334,313.45,0.0,0.873230594767318,0.3333333333333333,,,,,
9,fixed_drl,0,20-200,446,37.0,372.6,0.0,0.8683059997575197,0.5,,,,,
