episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,balanced,0,20-200,379,219.8,129.05,0.0,0.9,0.8,,,,,
1,balanced,0,20-200,408,0.0,0.0,0.0,0.89576060731378,0.0,,,,,
2,balanced,0,20-200,296,183.5,386.6,0.0,0.89576060731378,0.5,,,,,
3,balanced,0,20-200,518,23.0,309.4,0.0,0.8890215147672444,0.25,,,,,
4,balanced,0,20-200,506,0.0,0.0,0.0,0.8856721319396732,0.0,,,,,
5,balanced,0,20-200,429,84.0,346.20000000000005,0.0,0.8856721319396732,0.5,,,,,
6,balanced,0,20-200,419,67.0,266.59999999999997,0.0,0.8823361198840407,0.5,,,,,
7,balanced,0,20-200,385,79.4,165.15,0.0,0.8790134252240828,0.6,,,,,
8,balanced,0,20-200,478,0.0,0.0,0.0,0.874878703516232,0.0,,,,,
9,balanced,0,20-200,158,239.75,323.1,0.0,0.874878703516232,0.375,,,,,
