episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,energy_saving,2,20-200,10073,498.2325581395349,3265.7999999999997,0.0,0.9,0.4883720930232558,,,,,
1,energy_saving,2,20-200,10276,428.04761904761904,3413.1000000000004,0.0,0.8642246815569761,0.40476190476190477,,,,,
2,energy_saving,2,20-200,10588,391.90697674418607,2580.3999999999996,0.005251807005455096,0.8307354417412388,0.4883720930232558,,,,,
3,energy_saving,2,20-200,11149,452.54545454545456,1972.2,0.004310107169051965,0.7978753722729472,0.36363636363636365,,,,,
4,energy_saving,2,20-200,10514,544.2352941176471,2106.8,0.003337093240891894,0.7816017799612992,0.2647058823529412,,,,,
5,energy_saving,2,20-200,9845,400.6458333333333,3023.4500000000003,0.003287295112386346,0.757145433252671,0.5833333333333334,,,,,
6,energy_saving,2,20-200,11365,349.30232558139534,2420.0,0.002743585112815102,0.7240042048106812,0.4418604651162791,,,,,
7,energy_saving,2,20-200,10296,404.20588235294116,1817.85,0.002394165455674132,0.6956363047412232,0.2647058823529412,,,,,
8,energy_saving,2,20-200,10145,435.4186046511628,2683.85,0.0017891001189127564,0.6740536545223239,0.23255813953488372,,,,,
9,energy_saving,2,20-200,10428,375.24,3315.8999999999996,0.001390671784368654,0.6477881036798898,0.26,,,,,
10,energy_saving,2,20-200,11350,384.3030303030303,1987.9,0.0010803617963877816,0.6186336338367947,0.36363636363636365,,,,,
11,energy_saving,2,20-200,11373,344.22727272727275,2838.7000000000003,0.0009274385520257056,0.6001749670163294,0.2727272727272727,,,,,
12,energy_saving,2,20-200,8574,423.78333333333336,3698.6499999999996,0.0007897376199252903,0.5764921119888794,0.25,,,,,
13,energy_saving,2,20-200,10137,450.4418604651163,2976.55,0.0006052635920544466,0.545831598282993,0.18604651162790697,,,,,
14,energy_saving,2,20-200,11333,437.85185185185185,1719.8999999999999,0.0004806630313396454,0.5249627355504194,0.14814814814814814,,,,,
15,energy_saving,2,20-200,10226,481.175,2717.65,0.0003843607264570892,0.5123103179531514,0.3,,,,,
16,energy_saving,2,20-200,10507,482.1111111111111,1887.15,0.0003621637491354098,0.49418287110054054,0.25925925925925924,,,,,
17,energy_saving,2,20-200,11033,428.3421052631579,2440.15,0.00029603134801921743,0.4823503908782666,0.2894736842105263,,,,,
18,energy_saving,2,20-200,10416,442.3333333333333,3597.75,0.0002542531486445417,0.46622931629787573,0.28888888888888886,,,,,
19,energy_saving,2,20-200,10076,405.0377358490566,3877.6499999999996,0.00022467719585013887,0.44791417824588203,0.32075471698113206,,,,,
20,energy_saving,2,20-200,10378,474.5121951219512,3015.25,0.00020333098655100912,0.427373853331713,0.3902439024390244,,,,,
21,energy_saving,2,20-200,11378,382.4193548387097,1964.2499999999998,0.0001858206718073537,0.4122144173084264,0.3548387096774194,,,,,
22,energy_saving,2,20-200,9514,467.55882352941177,1913.15,0.00016190017534730336,0.40115802979648546,0.35294117647058826,,,,,
23,energy_saving,2,20-200,10169,495.5238095238095,2847.4,0.00016337493434548378,0.38941934522593136,0.38095238095238093,,,,,
24,energy_saving,2,20-200,9921,423.2888888888889,3145.5999999999995,0.00018591099069453776,0.37545895307884525,0.4444444444444444,,,,,
