episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,fixed_drl,2,20-200,10698,467.14,4015.1499999999996,0.0,0.9,0.34,,,,,
1,fixed_drl,2,20-200,9816,427.34615384615387,3623.8999999999996,0.0,0.858545010825607,0.5384615384615384,,,,,
2,fixed_drl,2,20-200,10449,492.6969696969697,2189.0499999999997,0.0010209887210900586,0.8175751189185453,0.3939393939393939,,,,,
3,fixed_drl,2,20-200,9784,384.875,2623.3,0.0006463159418975314,0.7926585249348292,0.3333333333333333,,,,,
4,fixed_drl,2,20-200,10211,496.35,2866.3,0.0005009982463282844,0.7578529323765273,0.325,,,,,
5,fixed_drl,2,20-200,10839,488.0263157894737,2294.75,0.00033556197498304147,0.730097621900371,0.5263157894736842,,,,,
6,fixed_drl,2,20-200,10416,392.06,3378.85,0.0002910536713898182,0.7047387816728173,0.38,,,,,
7,fixed_drl,2,20-200,10340,452.3888888888889,2216.7,0.00023177621187642217,0.6728067944889327,0.5555555555555556,,,,,
8,fixed_drl,2,20-200,11512,459.38461538461536,1912.8,0.00023439029852549234,0.650784529019087,0.4230769230769231,,,,,
9,fixed_drl,2,20-200,10640,457.55,3280.8999999999996,0.00023735152596297363,0.6353654479173624,0.475,,,,,
10,fixed_drl,2,20-200,11315,438.25,2851.5,0.00025096756871789694,0.6124129404036711,0.575,,,,,
11,fixed_drl,2,20-200,10304,387.70175438596493,4143.05,0.00023824320912050703,0.5903604135824522,0.631578947368421,,,,,
12,fixed_drl,2,20-200,10790,348.5652173913044,3480.2999999999997,0.0002279608597746119,0.5604212419904261,0.5652173913043478,,,,,
13,fixed_drl,2,20-200,10110,423.3859649122807,3839.35,0.00024298631857770184,0.537473704494358,0.6666666666666666,,,,,
14,fixed_drl,2,20-200,10512,615.7142857142857,1549.5,0.0002156248277363678,0.5104647702374998,0.5238095238095238,,,,,
15,fixed_drl,2,20-200,10423,444.2142857142857,3884.1499999999996,0.00021885626968772462,0.5008958355326787,0.5476190476190477,,,,,
16,fixed_drl,2,20-200,9106,446.4,2277.6,0.00022739773946038136,0.4823503908782666,0.3333333333333333,,,,,
17,fixed_drl,2,20-200,11145,436.25714285714287,2480.55,0.00022913159530920288,0.46332588494917937,0.5714285714285714,,,,,
18,fixed_drl,2,20-200,10499,425.09090909090907,2791.8,0.00023981937556527555,0.4491097131863793,0.5227272727272727,,,,,
19,fixed_drl,2,20-200,11659,379.72727272727275,3549.6000000000004,0.00020887097343802452,0.4319296194996383,0.4772727272727273,,,,,
20,fixed_drl,2,20-200,10935,444.6875,2446.5,0.0002056232721467192,0.4154890608563538,0.46875,,,,,
21,fixed_drl,2,20-200,10228,393.7962962962963,3988.750000000001,0.00020301003921000907,0.40397856111732305,0.25925925925925924,,,,,
22,fixed_drl,2,20-200,9858,403.8305084745763,3790.7,0.0001890139828901738,0.3853706538158609,0.3389830508474576,,,,,
23,fixed_drl,2,20-200,10290,415.22727272727275,2291.5,0.000179917750453266,0.3661561855288545,0.5227272727272727,,,,,
24,fixed_drl,2,20-200,10413,367.27272727272725,2685.0000000000005,0.00016623331854740778,0.35254691292142004,0.5227272727272727,,,,,
25,fixed_drl,2,20-200,10120,399.6326530612245,3597.9,0.00020845099061261863,0.3395234656414062,0.46938775510204084,,,,,
26,fixed_drl,2,20-200,10488,344.3478260869565,2792.0,0.00021044534999721995,0.3256787805886604,0.5,,,,,
27,fixed_drl,2,20-200,10501,459.8095238095238,2559.3999999999996,0.0002093140356009826,0.3132848035477377,0.47619047619047616,,,,,
28,fixed_drl,2,20-200,9583,401.41818181818184,3371.1000000000004,0.000208554711813728,0.3024558418058889,0.4,,,,,
29,fixed_drl,2,20-200,10956,384.5777777777778,3613.7000000000003,0.00019237001348907748,0.2889457047833681,0.4444444444444444,,,,,
30,fixed_drl,2,20-200,10042,407.5,2292.75,0.00017696239713889858,0.2784314920677352,0.23684210526315788,,,,,
31,fixed_drl,2,20-200,10308,464.3636363636364,2459.8,0.00019520950930503508,0.269913953520694,0.3333333333333333,,,,,
32,fixed_drl,2,20-200,9068,542.5135135135135,2591.35,0.00018228602615029862,0.2627752298229417,0.35135135135135137,,,,,
33,fixed_drl,2,20-200,10075,396.22222222222223,2933.5,0.00016610410724145672,0.25504641117377913,0.5777777777777777,,,,,
34,fixed_drl,2,20-200,10329,381.7959183673469,3298.6,0.00016680733339550594,0.2460238527410472,0.46938775510204084,,,,,
35,fixed_drl,2,20-200,9846,457.9130434782609,3682.8,0.00019198986895692846,0.23665021355082372,0.5652173913043478,,,,,
36,fixed_drl,2,20-200,10660,420.86046511627904,3186.15,0.00018475922115612775,0.22825878619289458,0.5348837209302325,,,,,
37,fixed_drl,2,20-200,9791,474.14285714285717,2441.25,0.00018959636994016668,0.2207561216736973,0.45714285714285713,,,,,
38,fixed_drl,2,20-200,10785,401.9148936170213,3576.5,0.00017962471853631237,0.2148830359472581,0.5531914893617021,,,,,
39,fixed_drl,2,20-200,10193,424.2307692307692,3496.0,0.00016861838230397552,0.2073128266737191,0.5384615384615384,,,,,
40,fixed_drl,2,20-200,8869,523.027027027027,2397.4,0.00018595438450574875,0.19934160748601365,0.3783783783783784,,,,,
41,fixed_drl,2,20-200,10201,462.8,2573.1,0.00017359362876353165,0.19391694314893693,0.2857142857142857,,,,,
42,fixed_drl,2,20-200,10643,427.05263157894734,2819.6,0.00016989619568145523,0.18896697979584576,0.5,,,,,
43,fixed_drl,2,20-200,10782,457.85714285714283,2121.0,0.00016055377879335234,0.1837853098060266,0.39285714285714285,,,,,
44,fixed_drl,2,20-200,10211,455.0,3000.0,0.00016342081653419882,0.180091278904281,0.5,,,,,
45,fixed_drl,2,20-200,10405,310.8974358974359,1603.75,0.00019818926133060208,0.17499032689705263,0.5641025641025641,,,,,
46,fixed_drl,2,20-200,10126,465.3421052631579,2618.85,0.00016980494547169656,0.17020953552967655,0.42105263157894735,,,,,
47,fixed_drl,2,20-200,9389,449.8695652173913,3165.3,0.00016245712079883864,0.16572727547294006,0.43478260869565216,,,,,
48,fixed_drl,2,20-200,10370,423.5625,3281.45,0.00017199808401831737,0.16052440424666203,0.4375,,,,,
49,fixed_drl,2,20-200,11111,494.5806451612903,2748.4,0.00018000746301064888,0.15534454398410602,0.3225806451612903,,,,,
50,fixed_drl,2,20-200,10438,370.1111111111111,3171.25,0.00015567421117642274,0.15212896214942379,0.5111111111111111,,,,,
51,fixed_drl,2,20-200,9754,461.525,1677.9499999999998,0.0001460682979086414,0.1476350306370771,0.325,,,,,
52,fixed_drl,2,20-200,9403,442.5208333333333,2987.95,0.00016926322617412856,0.1438067063274172,0.5416666666666666,,,,,
53,fixed_drl,2,20-200,10141,405.1136363636364,2583.75,0.00014328234343944737,0.13941034125511853,0.4318181818181818,,,,,
54,fixed_drl,2,20-200,9812,475.475,2687.0499999999997,0.00014896984794177115,0.1355615799031013,0.325,,,,,
55,fixed_drl,2,20-200,10025,428.2325581395349,2688.3,0.00016233847418334335,0.13220666236808737,0.4186046511627907,,,,,
56,fixed_drl,2,20-200,11252,352.75757575757575,2339.9500000000003,0.0001677103815988327,0.12874669822178564,0.48484848484848486,,,,,
57,fixed_drl,2,20-200,10054,391.875,2194.25,0.00015269658858111748,0.12619046696989866,0.4,,,,,
58,fixed_drl,2,20-200,10147,448.10869565217394,3293.3499999999995,0.000150731168105267,0.12320299602876253,0.3695652173913043,,,,,
59,fixed_drl,2,20-200,10541,391.3137254901961,3335.1500000000005,0.0001570740326618155,0.11991193296554845,0.47058823529411764,,,,,
60,fixed_drl,2,20-200,10594,411.26666666666665,3390.65,0.00014185877080308273,0.11643581871285355,0.5333333333333333,,,,,
61,fixed_drl,2,20-200,11449,370.7631578947368,2259.55,0.00014836282934993505,0.11351247539300834,0.631578947368421,,,,,
62,fixed_drl,2,20-200,9834,407.45714285714286,2026.9499999999998,0.0001554899305726091,0.11114428196888299,0.4857142857142857,,,,,
63,fixed_drl,2,20-200,10919,419.2564102564103,3008.45,0.0001414403086528182,0.1090412498423333,0.48717948717948717,,,,,
