episode,group,run,obss_duration,throughput,avg_option_duration,reward,avg_loss,epsilon,npca_ratio,throughput_weight,latency_penalty,npca_switch_bonus,npca_switch_cost,qos_priority
0,throughput_hungry,1,20-200,9989,419.3333333333333,3268.3999999999996,0.0,0.9,0.5,,,,,
1,throughput_hungry,1,20-200,10619,400.63829787234044,3391.5000000000005,0.0,0.8650393134866119,0.5319148936170213,,,,,
2,throughput_hungry,1,20-200,10970,358.92452830188677,4187.85,0.012257544323801994,0.8276187375382842,0.660377358490566,,,,,
3,throughput_hungry,1,20-200,10868,408.06976744186045,2877.6500000000005,0.011572507520516714,0.787478068013027,0.5813953488372093,,,,,
4,throughput_hungry,1,20-200,9782,463.84615384615387,2450.5,0.009480625080565611,0.7564386412743068,0.6410256410256411,,,,,
5,throughput_hungry,1,20-200,10267,444.3414634146341,2936.1,0.008040002236763636,0.7294178642139604,0.7073170731707317,,,,,
6,throughput_hungry,1,20-200,12019,391.35714285714283,1609.1,0.00805014589180549,0.7021250574794774,0.6071428571428571,,,,,
7,throughput_hungry,1,20-200,10436,483.8,2999.3999999999996,0.006849005973587434,0.6841188195926383,0.725,,,,,
8,throughput_hungry,1,20-200,9845,420.859649122807,3547.5499999999997,0.006098462734371424,0.6592546650323442,0.6491228070175439,,,,,
9,throughput_hungry,1,20-200,10589,414.51020408163265,3377.4500000000003,0.005107898265123367,0.62549834332344,0.673469387755102,,,,,
10,throughput_hungry,1,20-200,10025,417.8888888888889,3226.7,0.004906136309728026,0.5979786626853312,0.6111111111111112,,,,,
11,throughput_hungry,1,20-200,11657,422.03225806451616,2036.85,0.0038863944355398417,0.5691725787060016,0.7741935483870968,,,,,
12,throughput_hungry,1,20-200,10524,395.4054054054054,2162.5,0.004223547875881195,0.5533251332663591,0.7567567567567568,,,,,
13,throughput_hungry,1,20-200,10145,430.4,2482.4,0.0033035920156786838,0.5350424192501723,0.6666666666666666,,,,,
14,throughput_hungry,1,20-200,10474,389.43589743589746,2807.6,0.0030593494108567634,0.5207072493428926,0.6923076923076923,,,,,
15,throughput_hungry,1,20-200,12287,438.5,2342.2500000000005,0.002879462903365493,0.5027030308558627,0.7666666666666667,,,,,
16,throughput_hungry,1,20-200,10183,311.96,2446.1,0.002318842336535454,0.4893236343179443,0.76,,,,,
17,throughput_hungry,1,20-200,9762,363.1090909090909,4057.4499999999994,0.00207618639493982,0.4678975678418203,0.7090909090909091,,,,,
18,throughput_hungry,1,20-200,10853,368.05263157894734,2001.6999999999998,0.0015936978937437136,0.44553384132816637,0.7894736842105263,,,,,
19,throughput_hungry,1,20-200,10368,404.4,2977.1,0.0019273452150324981,0.4307855476070321,0.8,,,,,
20,throughput_hungry,1,20-200,8412,465.61290322580646,3720.6,0.0015172106213867664,0.4140300246307607,0.7741935483870968,,,,,
21,throughput_hungry,1,20-200,10406,425.6923076923077,2678.9,0.0011111909989267588,0.39214559042859054,0.8205128205128205,,,,,
22,throughput_hungry,1,20-200,9515,419.1090909090909,3299.4500000000003,0.0011695942763860028,0.3790587642259993,0.7818181818181819,,,,,
23,throughput_hungry,1,20-200,10197,354.4651162790698,2402.9,0.0011608681719129284,0.36144923314383554,0.9069767441860465,,,,,
24,throughput_hungry,1,20-200,10709,376.84444444444443,2826.1,0.0010542204060281317,0.3483407678561222,0.7555555555555555,,,,,
25,throughput_hungry,1,20-200,9874,360.5692307692308,3514.15,0.00095500333312278,0.33521302279860626,0.8307692307692308,,,,,
26,throughput_hungry,1,20-200,11019,395.94594594594594,2701.5,0.0009190097140769163,0.3172638437960915,0.918918918918919,,,,,
27,throughput_hungry,1,20-200,9718,412.26666666666665,3274.2,0.000757372627655665,0.3075557881079506,0.8,,,,,
28,throughput_hungry,1,20-200,10461,424.0,2231.0,0.0007385686039924622,0.29255690665940765,0.8,,,,,
29,throughput_hungry,1,20-200,9225,429.89285714285717,3186.3,0.0007095891633071005,0.28421426282100504,0.8035714285714286,,,,,
30,throughput_hungry,1,20-200,9931,447.2352941176471,1827.7000000000003,0.0007302877687228223,0.27145875168097927,0.8823529411764706,,,,,
31,throughput_hungry,1,20-200,9834,503.04347826086956,3132.0,0.0007436459612411758,0.26405571882742807,0.7391304347826086,,,,,
32,throughput_hungry,1,20-200,8881,498.3541666666667,3013.95,0.000509335290795813,0.2544321937270908,0.6458333333333334,,,,,
33,throughput_hungry,1,20-200,10310,441.0,2934.7,0.0006789433925102154,0.24485123100766415,0.6086956521739131,,,,,
34,throughput_hungry,1,20-200,9788,422.3888888888889,1722.6999999999998,0.0006257340622444948,0.2360911019968358,0.6388888888888888,,,,,
35,throughput_hungry,1,20-200,10322,363.26,3474.85,0.000572775024920702,0.2295109752448255,0.54,,,,,
36,throughput_hungry,1,20-200,11141,372.25,3294.0499999999997,0.0006560177619879445,0.2207561216736973,0.5227272727272727,,,,,
37,throughput_hungry,1,20-200,10111,425.1,2256.3500000000004,0.0004549303848762065,0.21340574639839366,0.43333333333333335,,,,,
38,throughput_hungry,1,20-200,10367,393.2682926829268,2509.8,0.0006472550448961556,0.20857637674848134,0.5121951219512195,,,,,
39,throughput_hungry,1,20-200,10820,374.5121951219512,2286.25,0.0005280250431193659,0.20220622572476926,0.6097560975609756,,,,,
40,throughput_hungry,1,20-200,9232,455.2962962962963,3273.7,0.0006087002887700995,0.19609196921004357,0.46296296296296297,,,,,
41,throughput_hungry,1,20-200,10904,418.6111111111111,2497.5,0.0005471655555690328,0.18841222213166742,0.4444444444444444,,,,,
42,throughput_hungry,1,20-200,10915,465.13953488372096,3512.9500000000003,0.0005726364130775133,0.18351800657874284,0.5581395348837209,,,,,
43,throughput_hungry,1,20-200,10002,494.1333333333333,3266.2000000000003,0.0005838471309592327,0.17789841928082256,0.5777777777777777,,,,,
44,throughput_hungry,1,20-200,10575,438.9166666666667,2907.95,0.0007151288640064498,0.17227056676290034,0.3611111111111111,,,,,
45,throughput_hungry,1,20-200,10178,415.86046511627904,2181.8999999999996,0.0006092413677833974,0.16794711540651197,0.46511627906976744,,,,,
46,throughput_hungry,1,20-200,9911,418.69444444444446,2109.35,0.0007025989276977876,0.1629828852734484,0.3888888888888889,,,,,
