episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,congested_npca,energy_saving,0,"배터리 절약, 저전력",2427,159.20967741935485,0.6129032258064516,0.0,0.9
1,congested_npca,energy_saving,0,"배터리 절약, 저전력",2888,157.10344827586206,0.6551724137931034,0.0,0.8489004537724256
2,congested_npca,energy_saving,0,"배터리 절약, 저전력",2244,206.54347826086956,0.6521739130434783,0.0016916617363070448,0.8038823712095838
3,congested_npca,energy_saving,0,"배터리 절약, 저전력",2773,167.63636363636363,0.5636363636363636,0.0014502824439356725,0.7699892990609897
4,congested_npca,energy_saving,0,"배터리 절약, 저전력",2516,162.11666666666667,0.55,0.0012577490027373035,0.731459178246666
5,congested_npca,energy_saving,0,"배터리 절약, 저전력",2339,176.05555555555554,0.7037037037037037,0.0010292616789229214,0.6917740851581768
6,congested_npca,energy_saving,0,"배터리 절약, 저전력",2480,180.28301886792454,0.5849056603773585,0.0009223439653093616,0.6580373733996759
7,congested_npca,energy_saving,0,"배터리 절약, 저전력",2557,178.7058823529412,0.803921568627451,0.0007262952858582139,0.6266504917744885
8,congested_npca,energy_saving,0,"배터리 절약, 저전력",2498,202.0,0.5869565217391305,0.0004302167702311029,0.5979786626853312
9,congested_npca,energy_saving,0,"배터리 절약, 저전력",2567,180.3846153846154,0.75,0.00031030262471176684,0.5733426172496424
10,congested_npca,energy_saving,0,"배터리 절약, 저전력",2812,160.98245614035088,0.7368421052631579,0.00028639144147746265,0.546824253804195
11,congested_npca,energy_saving,0,"배터리 절약, 저전력",2766,167.42857142857142,0.7857142857142857,0.00024629920759859186,0.519297243660891
12,congested_npca,energy_saving,0,"배터리 절약, 저전력",2709,170.3148148148148,0.7962962962962963,0.00016548542771488428,0.4937389102468636
13,congested_npca,energy_saving,0,"배터리 절약, 저전력",2192,217.95348837209303,0.6511627906976745,0.00014141447657796866,0.47041249047199846
14,congested_npca,energy_saving,0,"배터리 절약, 저전력",2109,193.58,0.56,0.00014620606574074677,0.45271791314957427
15,congested_npca,energy_saving,0,"배터리 절약, 저전력",2357,188.25,0.6538461538461539,0.00010154745298981045,0.43307712876139803
16,congested_npca,energy_saving,0,"배터리 절약, 저전력",2026,217.9111111111111,0.5333333333333333,9.460132908619319e-05,0.41366617656048577
17,congested_npca,energy_saving,0,"배터리 절약, 저전력",2622,177.96153846153845,0.40384615384615385,8.848953681687514e-05,0.3976639490196959
18,congested_npca,energy_saving,0,"배터리 절약, 저전력",2382,187.2941176470588,0.49019607843137253,9.379739155216764e-05,0.38004742276499204
19,congested_npca,energy_saving,0,"배터리 절약, 저전력",2486,169.28571428571428,0.6071428571428571,0.00010409420792711899,0.3636370261177705
20,congested_npca,energy_saving,0,"배터리 절약, 저전력",2318,217.0909090909091,0.4090909090909091,0.00011706186827116956,0.34655608265863036
21,congested_npca,energy_saving,0,"배터리 절약, 저전력",2420,196.0,0.375,0.00011110051127616316,0.33379051691288025
22,congested_npca,energy_saving,0,"배터리 절약, 저전력",2077,235.8780487804878,0.34146341463414637,0.00010443457722431049,0.3204903301218562
23,congested_npca,energy_saving,0,"배터리 절약, 저전력",2745,183.36,0.54,0.0001163027166815785,0.3096244982201542
24,congested_npca,energy_saving,0,"배터리 절약, 저전력",2203,207.95652173913044,0.4782608695652174,0.00010746068437583745,0.2969624620282439
25,congested_npca,energy_saving,0,"배터리 절약, 저전력",2619,198.15217391304347,0.45652173913043476,8.457363583147526e-05,0.28585951432290385
