episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,congested_npca,fixed_drl,1,,1819,233.58139534883722,0.5348837209302325,0.0,0.9
1,congested_npca,fixed_drl,1,,2629,185.82,0.56,0.0,0.8642246815569761
2,congested_npca,fixed_drl,1,,2444,201.87234042553192,0.5531914893617021,0.001986189978197217,0.8245144752517195
3,congested_npca,fixed_drl,1,,2949,181.24489795918367,0.5510204081632653,0.0016594584643219907,0.788954500088985
4,congested_npca,fixed_drl,1,,2690,168.6909090909091,0.6,0.001379017485305667,0.7536185306905236
5,congested_npca,fixed_drl,1,,2106,177.16071428571428,0.625,0.0011076723458245397,0.7159644891234331
6,congested_npca,fixed_drl,1,,2484,190.3877551020408,0.673469387755102,0.000908165005967021,0.6796954875794602
7,congested_npca,fixed_drl,1,,2165,176.52727272727273,0.6909090909090909,0.0007414579546699921,0.6495841607294613
8,congested_npca,fixed_drl,1,,2706,168.625,0.5535714285714286,0.000625226937700063,0.6174975030785896
9,congested_npca,fixed_drl,1,,2221,187.03846153846155,0.6923076923076923,0.0004369310336187482,0.5865910986808871
10,congested_npca,fixed_drl,1,,2781,188.4375,0.6666666666666666,0.0003433161764405668,0.5594014196687077
11,congested_npca,fixed_drl,1,,3246,145.24590163934425,0.7540983606557377,0.00027023800066672266,0.5355277042714927
12,congested_npca,fixed_drl,1,,2441,180.55769230769232,0.6538461538461539,0.0002605277016603698,0.506795747733714
13,congested_npca,fixed_drl,1,,2937,171.59615384615384,0.7115384615384616,0.00018346520179572204,0.48364938957469716
14,congested_npca,fixed_drl,1,,2505,169.64285714285714,0.7142857142857143,0.000150974946639811,0.4616758836120581
15,congested_npca,fixed_drl,1,,3007,185.10638297872342,0.5106382978723404,0.00013456913196326545,0.43925565925746074
16,congested_npca,fixed_drl,1,,2107,188.51923076923077,0.5961538461538461,0.00012038744656213869,0.421383918938275
17,congested_npca,fixed_drl,1,,2814,168.3090909090909,0.6545454545454545,0.00010692732515356813,0.40256547492934414
18,congested_npca,fixed_drl,1,,2970,173.53846153846155,0.4230769230769231,0.00011642799411977951,0.3836979857017906
19,congested_npca,fixed_drl,1,,1972,198.3877551020408,0.5306122448979592,0.00012810393430603048,0.3667891306340357
20,congested_npca,fixed_drl,1,,2336,210.5909090909091,0.5,0.00012431435607140884,0.35164063228332326
21,congested_npca,fixed_drl,1,,2458,192.83333333333334,0.4375,0.00011896695408116405,0.33865619679819825
22,congested_npca,fixed_drl,1,,2552,197.14893617021278,0.40425531914893614,0.00011908215916870783,0.32512797401765625
23,congested_npca,fixed_drl,1,,2179,225.04761904761904,0.47619047619047616,0.00010532049539809425,0.31249613273481686
24,congested_npca,fixed_drl,1,,2739,189.9591836734694,0.3877551020408163,0.00012203965646525224,0.3016996091965596
25,congested_npca,fixed_drl,1,,2551,196.53191489361703,0.425531914893617,0.00011882983138396715,0.2896636182294523
26,congested_npca,fixed_drl,1,,2683,180.09615384615384,0.36538461538461536,0.00010279429261572659,0.2786600378136304
27,congested_npca,fixed_drl,1,,2600,183.90196078431373,0.43137254901960786,0.00010256802488584071,0.267073574589866
28,congested_npca,fixed_drl,1,,1980,270.25,0.3055555555555556,0.00010835278468827407,0.25628038786897955
29,congested_npca,fixed_drl,1,,2499,197.72340425531914,0.5106382978723404,0.00013075514289084822,0.24898637389374484
30,congested_npca,fixed_drl,1,,2300,207.7826086956522,0.43478260869565216,0.00010496874650319417,0.23985039162422755
31,congested_npca,fixed_drl,1,,2252,206.25531914893617,0.3829787234042553,0.00010401085213137169,0.23131509053947796
32,congested_npca,fixed_drl,1,,2269,208.2173913043478,0.43478260869565216,0.0001168099600666513,0.22299044287667302
33,congested_npca,fixed_drl,1,,2695,169.1851851851852,0.5555555555555556,0.00012948202493134886,0.21521313200517855
34,congested_npca,fixed_drl,1,,2752,206.34883720930233,0.5813953488372093,9.678439285683756e-05,0.20652822567742596
35,congested_npca,fixed_drl,1,,2445,194.02083333333334,0.5833333333333334,0.00010734894992007564,0.199940170243389
36,congested_npca,fixed_drl,1,,1958,231.16666666666666,0.4523809523809524,0.00012312463998872167,0.19291304229912715
37,congested_npca,fixed_drl,1,,1932,195.37254901960785,0.5490196078431373,0.0001123178590205498,0.18703499751031027
38,congested_npca,fixed_drl,1,,2668,212.45454545454547,0.4772727272727273,0.00011191087590608124,0.1802214352505121
39,congested_npca,fixed_drl,1,,2163,196.74,0.34,0.00010178033941580604,0.17461591781079763
40,congested_npca,fixed_drl,1,,2696,193.48936170212767,0.574468085106383,0.00010483346704859287,0.16853832778279332
41,congested_npca,fixed_drl,1,,2044,206.93617021276594,0.48936170212765956,0.00011318903367888804,0.16309592466899964
42,congested_npca,fixed_drl,1,,2640,198.0,0.41304347826086957,0.00012388090787377828,0.15790339644552254
43,congested_npca,fixed_drl,1,,2574,207.4318181818182,0.38636363636363635,0.00010840744410719101,0.1530522714683744
44,congested_npca,fixed_drl,1,,2331,212.33333333333334,0.37777777777777777,0.0001246205404944097,0.14861627900824764
45,congested_npca,fixed_drl,1,,2848,194.7173913043478,0.391304347826087,0.00010446398421966781,0.14427691439963514
46,congested_npca,fixed_drl,1,,2465,197.2340425531915,0.425531914893617,0.00010643848023998241,0.14003840931751355
47,congested_npca,fixed_drl,1,,2790,195.2391304347826,0.391304347826087,9.739567515983556e-05,0.13590451162892317
48,congested_npca,fixed_drl,1,,2528,199.91489361702128,0.3829787234042553,0.00011230578820686787,0.1320424133471218
49,congested_npca,fixed_drl,1,,2158,206.51063829787233,0.40425531914893614,0.00010420675001417597,0.128275632642389
50,congested_npca,fixed_drl,1,,2675,181.54901960784315,0.5686274509803921,0.00012035896603871758,0.12468179464251683
51,congested_npca,fixed_drl,1,,2482,187.36,0.42,0.00011615884917167325,0.12096851652586661
52,congested_npca,fixed_drl,1,,2526,185.19230769230768,0.5,0.00011408287537051365,0.11750734113256951
53,congested_npca,fixed_drl,1,,2902,170.47169811320754,0.5660377358490566,0.00010516839150416975,0.1140866676609586
54,congested_npca,fixed_drl,1,,2652,174.55555555555554,0.4444444444444444,0.00010895689047174528,0.11077851467624882
55,congested_npca,fixed_drl,1,,1867,242.02439024390245,0.36585365853658536,0.00011603892926359549,0.10758351618976887
56,congested_npca,fixed_drl,1,,2520,166.82758620689654,0.4827586206896552,9.966370756349836e-05,0.10527033624376085
57,congested_npca,fixed_drl,1,,2145,194.13725490196077,0.47058823529411764,0.00010002638979737337,0.1021558498912391
58,congested_npca,fixed_drl,1,,2551,192.24489795918367,0.32653061224489793,0.0001031332819062906,0.09956259169513552
59,congested_npca,fixed_drl,1,,2642,172.44444444444446,0.6111111111111112,0.00011698490319152673,0.09719256455105987
60,congested_npca,fixed_drl,1,,2502,189.96,0.5,8.94810776420248e-05,0.09471175084383276
61,congested_npca,fixed_drl,1,,2559,175.1346153846154,0.5384615384615384,0.0001105121846194379,0.09253113302359833
62,congested_npca,fixed_drl,1,,2277,218.86363636363637,0.36363636363636365,0.00010187685499355818,0.09037603231883681
63,congested_npca,fixed_drl,1,,2329,191.79591836734693,0.3673469387755102,9.034826507559046e-05,0.08863800391457052
64,congested_npca,fixed_drl,1,,2497,208.62222222222223,0.4222222222222222,0.00010061775052842374,0.08679037821667102
65,congested_npca,fixed_drl,1,,2046,221.04651162790697,0.4418604651162791,0.00010019155888585374,0.08517150893082483
66,congested_npca,fixed_drl,1,,2106,199.2,0.46,0.0001003566721919924,0.08369118901068139
67,congested_npca,fixed_drl,1,,2442,202.9787234042553,0.425531914893617,0.0001151431958229902,0.08204805033337524
68,congested_npca,fixed_drl,1,,2419,218.53488372093022,0.46511627906976744,8.580949118671317e-05,0.08057664094041521
69,congested_npca,fixed_drl,1,,2253,183.69811320754718,0.5094339622641509,8.694136098104839e-05,0.07928971262681361
70,congested_npca,fixed_drl,1,,2731,200.77777777777777,0.4888888888888889,0.00010646304144756868,0.07777777802662042
71,congested_npca,fixed_drl,1,,2909,202.04545454545453,0.5454545454545454,9.27262978317837e-05,0.07655548584436793
72,congested_npca,fixed_drl,1,,1886,243.78048780487805,0.36585365853658536,8.990225614979863e-05,0.07541237727138737
73,congested_npca,fixed_drl,1,,2713,191.20833333333334,0.3958333333333333,9.805526254543413e-05,0.07439153996630096
74,congested_npca,fixed_drl,1,,2159,231.8048780487805,0.36585365853658536,8.867340511642396e-05,0.07324840086073274
75,congested_npca,fixed_drl,1,,2376,229.25,0.5,0.00010450488722805555,0.07231449237083477
76,congested_npca,fixed_drl,1,,2289,194.9795918367347,0.3877551020408163,0.00010404719311433534,0.07143952860994313
77,congested_npca,fixed_drl,1,,2690,188.89583333333334,0.5833333333333334,9.530196499933179e-05,0.07041431457201906
78,congested_npca,fixed_drl,1,,3242,171.83673469387756,0.5102040816326531,9.154521103482693e-05,0.06945757295862003
79,congested_npca,fixed_drl,1,,2469,170.96428571428572,0.6071428571428571,8.74754914548248e-05,0.0685271338009299
80,congested_npca,fixed_drl,1,,2601,166.85454545454544,0.6727272727272727,0.00010286559214970718,0.06751813008465701
81,congested_npca,fixed_drl,1,,2435,184.33962264150944,0.39622641509433965,8.765684227303912e-05,0.06658064994504496
82,congested_npca,fixed_drl,1,,1885,218.45652173913044,0.391304347826087,9.137506034070005e-05,0.06572475700184635
83,congested_npca,fixed_drl,1,,2722,184.0,0.48,8.460717072011903e-05,0.06501780278201554
84,congested_npca,fixed_drl,1,,2004,226.61363636363637,0.5,7.944509707158431e-05,0.06428537589760185
85,congested_npca,fixed_drl,1,,2473,194.29166666666666,0.3958333333333333,9.740463428897783e-05,0.06367044699920017
86,congested_npca,fixed_drl,1,,2882,180.49019607843138,0.27450980392156865,7.768302990977342e-05,0.06302976491938997
87,congested_npca,fixed_drl,1,,2537,204.43478260869566,0.45652173913043476,8.366965873089309e-05,0.06238190768494795
88,congested_npca,fixed_drl,1,,2499,191.74,0.38,9.010479455658545e-05,0.06182524141109698
89,congested_npca,fixed_drl,1,,2288,178.1818181818182,0.4727272727272727,9.502027144966026e-05,0.06124851758205979
90,congested_npca,fixed_drl,1,,2574,183.1346153846154,0.6153846153846154,6.925351044628769e-05,0.06064655482791323
91,congested_npca,fixed_drl,1,,2276,203.2173913043478,0.43478260869565216,9.188043622998521e-05,0.060107081830563555
92,congested_npca,fixed_drl,1,,2925,192.06521739130434,0.5869565217391305,8.883522726440181e-05,0.05965268726348355
93,congested_npca,fixed_drl,1,,2414,181.90384615384616,0.5384615384615384,0.00010492991229208808,0.059218721384530645
94,congested_npca,fixed_drl,1,,2177,196.38,0.48,8.78857802793694e-05,0.05875159832571679
95,congested_npca,fixed_drl,1,,2409,191.18367346938774,0.42857142857142855,8.066521210518356e-05,0.05832477783883299
96,congested_npca,fixed_drl,1,,2704,204.15555555555557,0.4666666666666667,8.810512614824499e-05,0.05792669636706908
97,congested_npca,fixed_drl,1,,2274,189.94117647058823,0.6274509803921569,9.110385872190818e-05,0.057577901766173625
98,congested_npca,fixed_drl,1,,1974,232.9268292682927,0.43902439024390244,8.6245241012269e-05,0.0572011184157848
99,congested_npca,fixed_drl,1,,2221,177.1818181818182,0.5272727272727272,9.062444344939043e-05,0.05691184322367379
100,congested_npca,fixed_drl,1,,2284,225.6904761904762,0.35714285714285715,8.382235925334196e-05,0.05654195695619018
101,congested_npca,fixed_drl,1,,2035,231.21428571428572,0.38095238095238093,7.80920284645011e-05,0.056272884831096714
