episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,free_npca,balanced,1,일반 웹 서핑,3861,138.29090909090908,0.5636363636363636,0.0,0.9
1,free_npca,balanced,1,일반 웹 서핑,3253,186.4090909090909,0.4090909090909091,0.0,0.8545123757604612
2,free_npca,balanced,1,일반 웹 서핑,4477,140.79166666666666,0.6041666666666666,0.0063520437106490135,0.8198813018200163
3,free_npca,balanced,1,일반 웹 서핑,3756,160.72340425531914,0.5531914893617021,0.005932233451555173,0.7837998808038715
4,free_npca,balanced,1,일반 웹 서핑,2807,161.2982456140351,0.6491228070175439,0.005136530380696058,0.7501092186282904
5,free_npca,balanced,1,일반 웹 서핑,3656,150.24528301886792,0.6037735849056604,0.004575683580090602,0.7113190158251137
6,free_npca,balanced,1,일반 웹 서핑,4068,153.3673469387755,0.6122448979591837,0.0038588616686562696,0.6771817364830025
7,free_npca,balanced,1,일반 웹 서핑,4055,127.04838709677419,0.7096774193548387,0.0034857953432947397,0.6471906143706554
8,free_npca,balanced,1,일반 웹 서핑,3232,147.5593220338983,0.6779661016949152,0.00297610298730433,0.6112892385992355
9,free_npca,balanced,1,일반 웹 서핑,3324,136.9206349206349,0.6190476190476191,0.0025625809406240783,0.5791311646825338
10,free_npca,balanced,1,일반 웹 서핑,3784,145.47272727272727,0.7454545454545455,0.0023936425180484853,0.546824253804195
11,free_npca,balanced,1,일반 웹 서핑,3872,125.18461538461538,0.8307692307692308,0.002278218666712443,0.5202367773687429
12,free_npca,balanced,1,일반 웹 서핑,3911,152.06,0.74,0.001961137206914524,0.4906435841556925
13,free_npca,balanced,1,일반 웹 서핑,3781,152.73584905660377,0.7169811320754716,0.001688631911141177,0.46915314296635136
14,free_npca,balanced,1,일반 웹 서핑,3653,124.49230769230769,0.7846153846153846,0.0013970257326339681,0.44751646295842284
15,free_npca,balanced,1,일반 웹 서핑,3472,124.98484848484848,0.8333333333333334,0.0011935378424823284,0.4224997435952068
16,free_npca,balanced,1,일반 웹 서핑,3379,145.7017543859649,0.8070175438596491,0.0009555004847546419,0.3987085069201874
17,free_npca,balanced,1,일반 웹 서핑,3895,129.18965517241378,0.7931034482758621,0.0009363589342683554,0.3793879875744643
18,free_npca,balanced,1,일반 웹 서핑,3566,144.85714285714286,0.8214285714285714,0.0007569987792521715,0.36082695716095603
19,free_npca,balanced,1,일반 웹 서핑,3539,132.44444444444446,0.8253968253968254,0.000585215981118381,0.3438990524854116
20,free_npca,balanced,1,일반 웹 서핑,3847,128.21666666666667,0.8833333333333333,0.000519671244546771,0.32595459725459724
21,free_npca,balanced,1,일반 웹 서핑,3659,132.55,0.8666666666666667,0.00046137935714796185,0.30988425257390495
22,free_npca,balanced,1,일반 웹 서핑,3210,127.32352941176471,0.8382352941176471,0.0003949150365466873,0.2947497719111547
23,free_npca,balanced,1,일반 웹 서핑,4259,122.98360655737704,0.9180327868852459,0.0003017006189717601,0.2786600378136304
24,free_npca,balanced,1,일반 웹 서핑,3636,139.8421052631579,0.8070175438596491,0.00025662190455477685,0.26512867758312464
25,free_npca,balanced,1,일반 웹 서핑,4152,130.78947368421052,0.8245614035087719,0.00019758268899749964,0.25320927299568247
26,free_npca,balanced,1,일반 웹 서핑,4163,117.96825396825396,0.9206349206349206,0.00024212957941927016,0.24195027411200448
27,free_npca,balanced,1,일반 웹 서핑,4129,116.96923076923076,0.9230769230769231,0.0001888037610721464,0.23023045715030682
28,free_npca,balanced,1,일반 웹 서핑,3686,124.57377049180327,0.8032786885245902,0.00015720856026746333,0.21888809730518777
29,free_npca,balanced,1,일반 웹 서핑,3866,131.49180327868854,0.7704918032786885,0.0002229212987003848,0.20889384686627271
30,free_npca,balanced,1,일반 웹 서핑,3228,148.22413793103448,0.7068965517241379,0.0001793632642754043,0.19949102378919992
31,free_npca,balanced,1,일반 웹 서핑,3549,155.90384615384616,0.6923076923076923,0.0001849512530801197,0.19106719674095168
32,free_npca,balanced,1,일반 웹 서핑,3629,159.71428571428572,0.5510204081632653,0.00021413728730597845,0.18391916203079062
33,free_npca,balanced,1,일반 웹 서핑,4113,133.10714285714286,0.6071428571428571,0.0002013114863075316,0.17751529899075535
34,free_npca,balanced,1,일반 웹 서핑,3911,149.19607843137254,0.5686274509803921,0.00012092251563444734,0.1705707056205243
35,free_npca,balanced,1,일반 웹 서핑,3412,155.34545454545454,0.4909090909090909,0.00020843529879736403,0.16457576984222846
36,free_npca,balanced,1,일반 웹 서핑,3413,165.6,0.48,0.00018267772975377738,0.1584442644710059
37,free_npca,balanced,1,일반 웹 서핑,3075,183.2608695652174,0.4782608695652174,0.00017743268593524894,0.1531553752831582
38,free_npca,balanced,1,일반 웹 서핑,3452,167.87755102040816,0.5102040816326531,0.000142146183255439,0.148517712020947
39,free_npca,balanced,1,일반 웹 서핑,3805,173.9318181818182,0.38636363636363635,0.00012967535197579613,0.1438067063274172
40,free_npca,balanced,1,일반 웹 서핑,3163,174.77551020408163,0.46938775510204084,0.00015462971108111864,0.1397686988575338
41,free_npca,balanced,1,일반 웹 서핑,3975,163.58695652173913,0.45652173913043476,0.0001996700254191334,0.13547606108973143
42,free_npca,balanced,1,일반 웹 서핑,3910,146.6153846153846,0.5192307692307693,0.00012073467708736037,0.1316332251034705
43,free_npca,balanced,1,일반 웹 서핑,4221,165.95348837209303,0.3488372093023256,0.0002209363350023826,0.12749677708420817
44,free_npca,balanced,1,일반 웹 서핑,3866,158.28571428571428,0.5510204081632653,0.0001797389801746855,0.12423504546244865
45,free_npca,balanced,1,일반 웹 서핑,4122,154.91666666666666,0.4583333333333333,0.00014693501968091974,0.12068520945165423
46,free_npca,balanced,1,일반 웹 서핑,3482,161.28,0.58,0.00017883760059097162,0.11737246137502182
47,free_npca,balanced,1,일반 웹 서핑,3294,179.7608695652174,0.5,0.0001848796382546425,0.1140866676609586
48,free_npca,balanced,1,일반 웹 서핑,3923,157.625,0.4791666666666667,0.00019901033374480903,0.11120545683318614
49,free_npca,balanced,1,일반 웹 서핑,4265,156.7826086956522,0.41304347826086957,0.0002202992036473006,0.10833698886122343
50,free_npca,balanced,1,일반 웹 서핑,3349,169.91666666666666,0.5416666666666666,0.00016290326796782514,0.10571427231032068
51,free_npca,balanced,1,일반 웹 서핑,4158,151.89795918367346,0.42857142857142855,0.00019522945513017476,0.1031031553614033
52,free_npca,balanced,1,일반 웹 서핑,2858,180.35416666666666,0.4583333333333333,0.0001905261815409176,0.10056382246257622
53,free_npca,balanced,1,일반 웹 서핑,3076,157.0701754385965,0.47368421052631576,0.00011946374434046447,0.09819408759286988
54,free_npca,balanced,1,일반 웹 서핑,3515,141.6206896551724,0.6551724137931034,0.0001528043188348723,0.09552384931875563
55,free_npca,balanced,1,일반 웹 서핑,4157,126.73333333333333,0.4666666666666667,0.0002483893816436951,0.09295857801676449
56,free_npca,balanced,1,일반 웹 서핑,3979,146.80392156862746,0.47058823529411764,0.0001893441949505359,0.09045686518940077
57,free_npca,balanced,1,일반 웹 서핑,3762,154.8653846153846,0.5192307692307693,0.0002082255135367935,0.08844529606609339
58,free_npca,balanced,1,일반 웹 서핑,3838,121.56923076923077,0.6153846153846154,0.00020639510087979337,0.08649722934986383
59,free_npca,balanced,1,일반 웹 서핑,3630,158.58823529411765,0.43137254901960786,0.00021024283099298677,0.08420036612718021
60,free_npca,balanced,1,일반 웹 서핑,3465,175.02173913043478,0.5217391304347826,0.00016607064268706986,0.08249987845505907
61,free_npca,balanced,1,일반 웹 서핑,3308,170.91836734693877,0.4897959183673469,0.00017512537306174636,0.08103874769067934
62,free_npca,balanced,1,일반 웹 서핑,4303,127.36842105263158,0.5789473684210527,0.00015662729856558144,0.07955450984053791
63,free_npca,balanced,1,일반 웹 서핑,3869,156.92,0.64,0.00013522780985416225,0.07791701471840667
64,free_npca,balanced,1,일반 웹 서핑,3859,149.78846153846155,0.5961538461538461,0.00013491279969457537,0.07655548584436793
65,free_npca,balanced,1,일반 웹 서핑,3938,124.38333333333334,0.65,0.00013223820133134723,0.07520988928509621
66,free_npca,balanced,1,일반 웹 서핑,3658,151.35849056603774,0.5283018867924528,0.00014200217022638148,0.07374177962428918
67,free_npca,balanced,1,일반 웹 서핑,3888,149.39622641509433,0.49056603773584906,0.00010969625388194497,0.07251622925643536
68,free_npca,balanced,1,일반 웹 서핑,3279,163.15384615384616,0.46153846153846156,0.00024746452982071787,0.07135394178327244
69,free_npca,balanced,1,일반 웹 서핑,3047,183.3695652173913,0.5,0.00020104117478088787,0.07027191335574307
70,free_npca,balanced,1,일반 웹 서핑,3527,152.5185185185185,0.5555555555555556,0.0001447391308223208,0.06936052790862901
71,free_npca,balanced,1,일반 웹 서핑,4301,143.72,0.58,0.0001824612069564561,0.06834278573945923
72,free_npca,balanced,1,일반 웹 서핑,4093,155.5,0.5,0.00010889646364375949,0.06744819752268572
73,free_npca,balanced,1,일반 웹 서핑,3839,159.28571428571428,0.5510204081632653,0.00019099979544989765,0.06663046658247376
74,free_npca,balanced,1,일반 웹 서핑,3524,163.44897959183675,0.42857142857142855,0.0001504938651729996,0.06583521645791311
75,free_npca,balanced,1,일반 웹 서핑,3383,149.74545454545455,0.4909090909090909,0.00013663039862876758,0.06507799429591606
76,free_npca,balanced,1,일반 웹 서핑,3878,145.62962962962962,0.5,0.00014393106782032797,0.0642710976620119
77,free_npca,balanced,1,일반 웹 서핑,3454,171.81632653061226,0.4897959183673469,0.00012974912776068473,0.06352089612001283
78,free_npca,balanced,1,일반 웹 서핑,3403,158.8235294117647,0.49019607843137253,0.00023379379126708955,0.06287434214208994
79,free_npca,balanced,1,일반 웹 서핑,4024,140.55555555555554,0.6111111111111112,0.00020238105692745498,0.06223421273476483
80,free_npca,balanced,1,일반 웹 서핑,3214,174.53061224489795,0.5102040816326531,0.0001705903559923172,0.06159108594268937
81,free_npca,balanced,1,일반 웹 서핑,3410,137.11290322580646,0.5806451612903226,0.00022162093470493952,0.06103681330734242
82,free_npca,balanced,1,일반 웹 서핑,3746,166.9777777777778,0.6,0.0001866325813656052,0.0603733119522793
83,free_npca,balanced,1,일반 웹 서핑,3829,170.45454545454547,0.5227272727272727,0.00018864954472519457,0.05991686010464821
84,free_npca,balanced,1,일반 웹 서핑,3153,164.90196078431373,0.6274509803921569,0.00017787995845234642,0.05948997852284967
85,free_npca,balanced,1,일반 웹 서핑,3501,154.32692307692307,0.40384615384615385,0.00017855896536881724,0.05901812417407487
86,free_npca,balanced,1,일반 웹 서핑,3549,163.24489795918367,0.3673469387755102,0.00013169177448920286,0.05856116560322297
87,free_npca,balanced,1,일반 웹 서핑,3524,167.4375,0.3958333333333333,0.00019980795574762547,0.05815178033561283
