episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4031,142.09615384615384,0.46153846153846156,0.0,0.9
1,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3301,166.9387755102041,0.3877551020408163,0.0,0.8569295368164561
2,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3574,163.16326530612244,0.4489795918367347,0.006489206726352374,0.8183430779529846
3,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3537,174.32608695652175,0.32608695652173914,0.005406233016401529,0.7816017799612992
4,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3306,174.8125,0.2708333333333333,0.004427851022531589,0.7487103994764586
5,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3557,164.3673469387755,0.4489795918367347,0.004002832109108567,0.7159644891234331
6,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3025,178.91836734693877,0.32653061224489793,0.0035148398019373417,0.6841188195926383
7,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3366,191.07142857142858,0.2619047619047619,0.0029327338561415672,0.6537959740028007
8,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3201,174.75510204081633,0.2857142857142857,0.002476139459758997,0.6289617131026151
9,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",2876,180.42857142857142,0.32653061224489793,0.0019667475717142224,0.6012764180342297
10,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3537,186.41860465116278,0.23255813953488372,0.0014672905284290512,0.5749150024999781
11,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3667,174.45652173913044,0.30434782608695654,0.001307471616504093,0.5528220597117929
12,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3391,184.25,0.3181818181818182,0.0013053553411737084,0.5302161665399273
13,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3823,160.12,0.26,0.0009917278657667339,0.5095447610129191
14,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3185,189.56521739130434,0.2391304347826087,0.0007236448388236264,0.4871324985506371
15,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4034,183.525,0.275,0.0007306658856881162,0.4674798791531303
16,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3916,180.1904761904762,0.23809523809523808,0.0005204452900215983,0.4511102589489157
17,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3226,175.2127659574468,0.1702127659574468,0.00043097993087333936,0.4346125059837192
18,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3036,203.06976744186048,0.16279069767441862,0.0004011974669992924,0.41695394491471777
19,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",2978,202.11627906976744,0.27906976744186046,0.00023693655869768312,0.40150936346383787
20,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3750,160.42857142857142,0.3673469387755102,0.0002585934610882153,0.38671482297722204
21,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3846,178.88095238095238,0.4523809523809524,0.00027977519008951884,0.37061350052868336
22,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3192,156.43396226415095,0.41509433962264153,0.0003222387167625129,0.3574265969005148
23,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3664,148.87037037037038,0.5555555555555556,0.0002930549526354298,0.34155723980590064
24,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4275,130.22413793103448,0.5689655172413793,0.000254419418827941,0.32623068987515436
25,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3333,161.53846153846155,0.5,0.0002975191018776968,0.3106650759811201
26,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3539,139.54237288135593,0.6271186440677966,0.0002626654216631626,0.2974568812066724
27,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3733,148.64150943396226,0.5283018867924528,0.00020395135895038644,0.2832792769880344
28,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3932,154.3673469387755,0.5306122448979592,0.00024006513316029063,0.27123740362177357
29,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",2769,161.01818181818183,0.6545454545454545,0.0002473141357768327,0.26065808091214443
30,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",2894,175.9,0.48,0.00032318320882041007,0.249384744879728
31,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3448,149.38181818181818,0.6181818181818182,0.0002607730469511201,0.23966063612616534
32,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3793,168.56521739130434,0.45652173913043476,0.0003071974400275697,0.2295109752448255
33,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3592,178.2,0.4888888888888889,0.00027053886151406914,0.2214405140325869
34,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3409,178.65217391304347,0.5434782608695652,0.00025591002001116675,0.21389669969932534
35,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3263,164.76470588235293,0.49019607843137253,0.00023585635547836623,0.20652822567742596
36,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3676,160.02083333333334,0.5208333333333334,0.00026682021173958975,0.19874543419754404
37,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3960,152.8,0.44,0.0002947227476397529,0.19177429900719295
38,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3583,162.0204081632653,0.4489795918367347,0.0001660458801779896,0.18485988485360427
39,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3294,154.23214285714286,0.5357142857142857,0.00025167711040315527,0.17841103751091525
40,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3509,142.0,0.5254237288135594,0.0002917097881436348,0.17141766144686005
41,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3389,155.24528301886792,0.5471698113207547,0.00025927040648336214,0.16446125134117998
42,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3556,147.25454545454545,0.5454545454545454,0.0003219985810574144,0.15855276297568777
43,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3642,157.07843137254903,0.43137254901960786,0.000326014356687665,0.1527435779258033
44,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3526,140.38983050847457,0.576271186440678,0.000352224752229328,0.1476350306370771
45,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3205,182.8913043478261,0.32608695652173914,0.00021908678657685718,0.14204120428843348
46,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3642,149.42592592592592,0.5740740740740741,0.0003357335614661376,0.13790321234602188
47,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3698,159.66666666666666,0.5,0.00025914433839110035,0.1332823256412664
48,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3917,125.88709677419355,0.5645161290322581,0.00017310269807542986,0.12937919843508222
49,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3894,155.05882352941177,0.37254901960784315,0.0002620146891179805,0.12460715017632779
50,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4297,167.92857142857142,0.5714285714285714,0.0002871991164283827,0.12089758348177389
51,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3377,164.8,0.42,0.00022471783449873328,0.11798155031628793
52,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3621,153.49056603773585,0.5094339622641509,0.00023400257729614773,0.11466605098402889
53,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3300,159.24528301886792,0.49056603773584906,0.00029481356614269316,0.11132799023941425
54,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3090,157.38181818181818,0.41818181818181815,0.00023043339994425574,0.10816224014876996
55,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3386,166.91836734693877,0.3877551020408163,0.00015205473270422468,0.10504969647251458
56,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3591,154.9811320754717,0.41509433962264153,0.0002096210519084707,0.10241728217675873
57,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3155,190.5,0.36363636363636365,0.0002658567391335964,0.0997115027250826
58,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3121,180.2608695652174,0.43478260869565216,0.0002870597260577294,0.09757161926469993
59,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3473,166.22448979591837,0.42857142857142855,0.00022753002122044563,0.09543289260714863
60,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4311,155.0,0.4666666666666667,0.00014707334048580378,0.09326034300814562
61,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3379,156.42307692307693,0.5961538461538461,0.00026786666906749207,0.09135677897902336
62,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3708,166.41666666666666,0.4166666666666667,0.00018753384453399727,0.08926118412442809
63,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4504,138.08163265306123,0.6326530612244898,0.00030036641207213205,0.08742116110966336
64,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",2988,172.98039215686273,0.5490196078431373,0.0002543917604877303,0.08563172346002901
65,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3519,162.02,0.56,0.0002497157111065462,0.08386006679837546
66,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3800,151.22222222222223,0.5740740740740741,0.00029002340549292666,0.08220869185417441
67,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4254,137.14814814814815,0.5555555555555556,0.0003187033677628885,0.08051554877106779
68,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4356,134.05454545454546,0.5272727272727272,0.0002099420404798972,0.07891141065323112
69,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",2640,184.14,0.52,0.0003485330186473827,0.07736422078966737
70,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3136,180.2127659574468,0.3829787234042553,0.0002650331880431622,0.07602965199366576
71,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3515,160.04,0.6,0.0003016448366300513,0.0748345629308196
72,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3850,140.33333333333334,0.47368421052631576,0.0003054464856783549,0.07362336700441029
73,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4059,131.71186440677965,0.4745762711864407,0.00020250258967280388,0.07231449237083477
74,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3967,154.0204081632653,0.5102040816326531,0.0002884370236036678,0.0710360230082904
75,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3190,168.75510204081633,0.42857142857142855,0.00020806024743554494,0.07003010415239769
76,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3508,129.65671641791045,0.47761194029850745,0.0002513869646160553,0.06907228719980874
77,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3454,158.49056603773585,0.5660377358490566,0.00025406330920911085,0.06783631146777797
78,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4236,153.02173913043478,0.5217391304347826,0.00024145355564542115,0.06691560129244943
79,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3209,168.02083333333334,0.5833333333333334,0.0003120058002726485,0.06615510904997669
80,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3686,162.04166666666666,0.6041666666666666,0.00026881180140965927,0.06539798026945436
81,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3276,175.0212765957447,0.574468085106383,0.0002827386585219453,0.06467633524756972
82,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3974,141.41509433962264,0.6226415094339622,0.0003075089237730329,0.06400250650251764
83,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3739,173.75,0.5227272727272727,0.0002091919935386007,0.06327969729164114
84,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3175,157.27777777777777,0.5925925925925926,0.0002533056976972148,0.06270805887728008
85,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3414,164.28571428571428,0.46938775510204084,0.0002048659419718509,0.06204002299165035
86,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",4257,125.64406779661017,0.576271186440678,0.000282482947416914,0.0614642826937856
87,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3520,160.12244897959184,0.5102040816326531,0.00017950276863606027,0.060807456898962275
88,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3501,145.9090909090909,0.5272727272727272,0.00026212356169708073,0.0602906565192218
89,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3361,170.91666666666666,0.5208333333333334,0.00026468304470957565,0.05973995355813413
90,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3493,177.48936170212767,0.3617021276595745,0.0002571401758662735,0.059283478820823396
91,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3053,170.2549019607843,0.39215686274509803,0.0002713044620274256,0.058857250148744725
92,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3559,149.62962962962962,0.5555555555555556,0.00032067170832306147,0.05841685589592228
93,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3906,132.10169491525423,0.6440677966101694,0.00021884311960699657,0.05797439951159573
94,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3736,169.1086956521739,0.4782608695652174,0.00019142948925339928,0.05751752039954436
95,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3756,145.18867924528303,0.5471698113207547,0.0001745989041713377,0.05717954743318957
96,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3434,162.09803921568627,0.49019607843137253,0.00022658095015988997,0.05680893928430558
97,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3852,142.96226415094338,0.5471698113207547,0.0002339062727211664,0.05647038977082592
98,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3395,146.24137931034483,0.5517241379310345,0.00026262942992616445,0.05613638833162122
99,free_npca,latency_sensitive,0,"화상회의, 지연 최소화",3518,163.3469387755102,0.5102040816326531,0.00029986944476452965,0.05579060252658615
