episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3190,169.36,0.42,0.0,0.9
1,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3299,173.16326530612244,0.4489795918367347,0.0,0.858545010825607
2,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3960,164.97826086956522,0.391304347826087,0.005724325931320588,0.8198813018200163
3,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3078,226.72222222222223,0.3055555555555556,0.0048979817268749075,0.7852689491441301
4,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2997,180.66666666666666,0.3958333333333333,0.004717461920032899,0.7592700548914212
5,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3300,170.08163265306123,0.3469387755102041,0.0036382426818211875,0.7260292534793299
6,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3347,193.52380952380952,0.3333333333333333,0.003461917396634817,0.6937022982871852
7,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2495,182.72549019607843,0.2549019607843137,0.003416458610445261,0.6672266815126373
8,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3834,159.46938775510205,0.3877551020408163,0.0028770173278947673,0.6365373503249707
9,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3225,183.2391304347826,0.2826086956521739,0.002672635872537891,0.6084897968427982
10,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4116,183.23076923076923,0.23076923076923078,0.0021960074082016945,0.5833811914402396
11,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3413,190.58536585365854,0.4146341463414634,0.001979889969031016,0.5629797391129845
12,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3927,144.16666666666666,0.24074074074074073,0.0017440073813001316,0.5423728966736647
13,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3489,186.65116279069767,0.32558139534883723,0.0015436728717759252,0.5164898906799225
14,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3156,199.3658536585366,0.21951219512195122,0.001510263381836315,0.4968559796334217
15,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3619,166.125,0.25,0.0011719839336971443,0.47890538614351846
16,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3729,143.38181818181818,0.23636363636363636,0.0009436251129955053,0.4588042149929113
17,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3160,187.15217391304347,0.17391304347826086,0.0008879278126793603,0.43692711791157346
18,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2820,178.16326530612244,0.3469387755102041,0.0007095113784695665,0.41953163391506715
19,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3524,201.76923076923077,0.1282051282051282,0.0004981392218420903,0.401861048640583
20,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3531,173.8695652173913,0.2608695652173913,0.0006037530838511884,0.3884026130510649
21,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3168,196.85714285714286,0.047619047619047616,0.00041674505337141454,0.37318869557875417
22,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2970,189.9787234042553,0.1276595744680851,0.00048197092837654054,0.35989587361310754
23,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3135,212.56410256410257,0.15384615384615385,0.0003678488525717209,0.3456677475795243
24,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3564,184.8372093023256,0.16279069767441862,0.00037899625992091995,0.33435866590631647
25,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3894,179.52380952380952,0.21428571428571427,0.00026623294009671855,0.32239040493592597
26,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3178,191.9318181818182,0.1590909090909091,0.0003034390489726017,0.3111869278109615
27,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3960,173.48837209302326,0.11627906976744186,0.00023842018951351443,0.2999438642089266
28,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3399,190.5,0.1590909090909091,0.0002200092082299913,0.2894240744030981
29,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4058,187.57894736842104,0.13157894736842105,0.0001887786250639086,0.2791178155143659
30,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3465,171.3125,0.22916666666666666,0.0001466885053863128,0.27057468598440243
31,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3828,176.25,0.1590909090909091,0.00012105072285824765,0.2602371857857449
32,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4009,154.56,0.26,0.00014047047200923166,0.25118730694566477
33,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3003,185.7173913043478,0.2826086956521739,0.00013591455596421534,0.24137528620277315
34,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3663,169.7826086956522,0.2826086956521739,0.0001496153709013015,0.2327714288499061
35,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3806,157.08,0.42,0.00013697683364929011,0.22455438404121492
36,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3564,169.74468085106383,0.44680851063829785,0.00013003246567677706,0.2160412662756015
37,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3362,153.24074074074073,0.5370370370370371,0.00010450684931129217,0.20841787963349845
38,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3585,161.88235294117646,0.5294117647058824,0.00012905828528649485,0.20009018540871382
39,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3765,184.1219512195122,0.4146341463414634,0.00010430140294677888,0.19262750185015803
40,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3219,160.55555555555554,0.5185185185185185,0.00012913946799623469,0.18689803100746522
41,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3352,157.8679245283019,0.5660377358490566,9.851361877129723e-05,0.17970158989335133
42,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3888,164.47826086956522,0.4782608695652174,0.00010617901716614142,0.17300639544203042
43,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4087,154.9375,0.4166666666666667,0.0001509308252328386,0.1674762692649637
44,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3195,145.49122807017545,0.5263157894736842,8.732218217725556e-05,0.16197060141625153
45,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3720,151.90384615384616,0.4807692307692308,9.517694707028568e-05,0.15576676604119402
46,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4674,141.91304347826087,0.5434782608695652,0.00012485844975647828,0.15040744415552373
47,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3312,172.89795918367346,0.4489795918367347,9.254059114027768e-05,0.14589332248484602
48,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3542,142.17241379310346,0.6551724137931034,0.0001251745731375801,0.1413078121341637
49,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4028,145.40384615384616,0.46153846153846156,0.00012824151781387627,0.13616261212097264
50,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3498,156.26415094339623,0.49056603773584906,0.0001054634897930858,0.13179665492902637
51,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3486,180.6590909090909,0.5227272727272727,0.00010186304037536804,0.12757431262260027
52,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3427,160.92,0.5,9.764225493806104e-05,0.12423504546244865
53,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3144,178.33333333333334,0.3541666666666667,0.000107736443169415,0.12061455957302938
54,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3243,174.8125,0.4375,9.799609930875401e-05,0.11730512258865156
55,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3201,161.77777777777777,0.5370370370370371,0.00012399821328775337,0.11415078638263716
56,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4179,148.75,0.5833333333333334,0.000126324647377866,0.11077851467624882
57,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3999,149.54,0.46,0.00010438134631840512,0.10793005586631874
58,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3890,139.96428571428572,0.5178571428571429,0.00010036235714020829,0.10510477370301258
59,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3878,135.4406779661017,0.5084745762711864,0.00013599372565901527,0.10210372011058236
60,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3681,125.75384615384615,0.6307692307692307,9.149141988018528e-05,0.0991185296465129
61,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4202,155.56521739130434,0.5652173913043478,0.0001451709152509769,0.09602737598068563
62,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3665,139.34426229508196,0.5573770491803278,0.00012950856277408698,0.09395807547108376
63,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3757,149.0,0.6538461538461539,0.00010813058664401372,0.09135677897902336
64,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4488,148.64583333333334,0.375,9.656417144772907e-05,0.08926118412442809
65,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3536,130.80645161290323,0.6290322580645161,0.0001370847652045389,0.08742116110966336
66,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3786,151.4,0.48,0.00010796144730799521,0.08517150893082483
67,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3512,169.89361702127658,0.5106382978723404,0.000121785497564512,0.08345617419909024
68,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4051,156.40425531914894,0.5957446808510638,9.777676314115524e-05,0.0819201141749401
69,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3825,131.135593220339,0.7457627118644068,9.33310608767594e-05,0.08045457866395613
70,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3691,156.6734693877551,0.5306122448979592,9.811713971430436e-05,0.07870973745833883
71,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3122,167.8235294117647,0.6470588235294118,8.583062541826318e-05,0.07733687024642855
72,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3729,169.36170212765958,0.425531914893617,0.0001223605552998682,0.07597764471429358
73,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3564,178.79545454545453,0.36363636363636365,0.00012250318589697903,0.07478494344098761
74,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2606,229.82051282051282,0.41025641025641024,0.00012160086286409448,0.07371804971159873
75,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3476,151.81132075471697,0.5094339622641509,0.00010973449388984591,0.07281085112969886
76,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3800,153.05769230769232,0.5192307692307693,0.00011712841417950888,0.07163335527911566
77,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3867,143.8181818181818,0.5818181818181818,9.719930919042478e-05,0.0705371686531325
78,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3528,153.20754716981133,0.5660377358490566,9.50652320170775e-05,0.06943812511120577
79,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3853,152.86,0.52,0.00012994591088499874,0.0684347293355978
80,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3554,167.08510638297872,0.425531914893617,0.00011310643700805183,0.06753565697672713
81,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3495,156.77358490566039,0.4528301886792453,0.00012019269100467984,0.06673054932996302
82,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4497,144.5,0.5,0.00013592544322212538,0.06586691858238604
83,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3445,176.33333333333334,0.4666666666666667,0.00010145178627377997,0.06512329619768004
84,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4084,143.07692307692307,0.5192307692307693,9.798544730680685e-05,0.0644578330819982
85,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3965,148.2156862745098,0.5490196078431373,9.538422697611774e-05,0.063725238296737
86,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3218,184.54347826086956,0.391304347826087,0.00010800910240504891,0.06304280120136399
87,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4059,155.73469387755102,0.42857142857142855,0.00011582552057613309,0.06245642245181408
88,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3118,182.08695652173913,0.43478260869565216,0.00010775274616510917,0.06186077040217014
89,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2967,164.20754716981133,0.5094339622641509,0.00011208052455913275,0.061327533437982126
90,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3436,169.375,0.5,9.507904906058684e-05,0.06074280630330713
91,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3553,164.6122448979592,0.5714285714285714,9.998525153302278e-05,0.06023933165571123
92,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4220,150.27083333333334,0.5833333333333334,0.00011549906776053831,0.059749698383292776
93,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4606,127.18518518518519,0.6296296296296297,0.00010531027752828474,0.059292766942931265
94,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3778,142.62962962962962,0.6666666666666666,0.00010073524754261598,0.05880426575997164
95,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3567,141.77966101694915,0.576271186440678,9.502650937065482e-05,0.058341444055171596
96,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4098,138.88888888888889,0.6296296296296297,0.00012611651133435467,0.05786353577535551
97,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",4090,134.60714285714286,0.5357142857142857,9.051736803182091e-05,0.05745016626419732
98,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3413,156.71153846153845,0.5576923076923077,8.77890294456544e-05,0.05704442377168892
99,free_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3366,169.5,0.44,9.006390124947454e-05,0.056687474836738555
