episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,light_npca,balanced,0,일반 웹 서핑,3619,175.44444444444446,0.4888888888888889,0.0,0.9
1,light_npca,balanced,0,일반 웹 서핑,3777,167.32608695652175,0.391304347826087,0.0,0.862597859558135
2,light_npca,balanced,0,일반 웹 서핑,2896,171.96153846153845,0.36538461538461536,0.0019188310640553634,0.8260650542643759
3,light_npca,balanced,0,일반 웹 서핑,3149,163.32075471698113,0.41509433962264153,0.0017195579518253605,0.7867409585611657
4,light_npca,balanced,0,일반 웹 서핑,4356,175.25,0.3,0.001193540869280696,0.7487103994764586
5,light_npca,balanced,0,일반 웹 서핑,3574,176.08695652173913,0.17391304347826086,0.0009627479788226386,0.7213135728428823
6,light_npca,balanced,0,일반 웹 서핑,3455,187.2325581395349,0.27906976744186046,0.0007073842571116984,0.6911326318531257
7,light_npca,balanced,0,일반 웹 서핑,3135,162.59259259259258,0.3333333333333333,0.000572799239307642,0.6641482505957614
8,light_npca,balanced,0,일반 웹 서핑,3333,197.8095238095238,0.21428571428571427,0.0004247700562700629,0.6318637707663365
9,light_npca,balanced,0,일반 웹 서핑,3861,159.6875,0.3541666666666667,0.00033390642299006384,0.6079315861977955
10,light_npca,balanced,0,일반 웹 서핑,3242,173.08163265306123,0.3469387755102041,0.00027219875482842326,0.5817834456828641
11,light_npca,balanced,0,일반 웹 서핑,3894,184.7,0.35,0.00021802437064858773,0.5563541620652731
12,light_npca,balanced,0,일반 웹 서핑,3199,196.2093023255814,0.3953488372093023,0.00022301259741652757,0.5364997313831382
13,light_npca,balanced,0,일반 웹 서핑,3273,159.96153846153845,0.4423076923076923,0.00021294418062704304,0.516023633956459
14,light_npca,balanced,0,일반 웹 서핑,3602,174.61702127659575,0.425531914893617,0.0001808211236493662,0.4924096883458907
15,light_npca,balanced,0,일반 웹 서핑,4059,157.29787234042553,0.5531914893617021,0.00021502608433365822,0.4720975082226981
16,light_npca,balanced,0,일반 웹 서핑,3158,151.52631578947367,0.49122807017543857,0.00022668118860262135,0.45271791314957427
17,light_npca,balanced,0,일반 웹 서핑,3388,148.68421052631578,0.7017543859649122,0.000210069056871968,0.4304049523887505
18,light_npca,balanced,0,일반 웹 서핑,3497,171.56521739130434,0.5869565217391305,0.00020369516278151423,0.4093282619840684
19,light_npca,balanced,0,일반 웹 서핑,3919,142.83333333333334,0.5,0.0001788179021483908,0.39317356839584383
20,light_npca,balanced,0,일반 웹 서핑,3795,182.26829268292684,0.4878048780487805,0.00016849408954537162,0.3751336568010133
21,light_npca,balanced,0,일반 웹 서핑,3737,139.05263157894737,0.5614035087719298,0.0001828766253311187,0.3620727549240629
22,light_npca,balanced,0,일반 웹 서핑,3661,143.6909090909091,0.5818181818181818,0.0001826372608775273,0.3447820735121423
23,light_npca,balanced,0,일반 웹 서핑,3599,146.34545454545454,0.4727272727272727,0.00018530374412269643,0.32900685446217465
24,light_npca,balanced,0,일반 웹 서핑,3201,171.44897959183675,0.4489795918367347,0.00019712411934354654,0.31407584392566756
25,light_npca,balanced,0,일반 웹 서핑,3436,186.09302325581396,0.4418604651162791,0.00017603412561584264,0.3014480353952282
26,light_npca,balanced,0,일반 웹 서핑,3673,142.98181818181817,0.4,0.00021752781564525017,0.290864937115067
27,light_npca,balanced,0,일반 웹 서핑,3177,193.4418604651163,0.4418604651162791,0.00016383177717216313,0.2779750856421607
28,light_npca,balanced,0,일반 웹 서핑,3102,192.77272727272728,0.36363636363636365,0.00018126568951023123,0.26837993118813264
29,light_npca,balanced,0,일반 웹 서핑,2985,180.66666666666666,0.5,0.00019379096920602024,0.2589795393831751
30,light_npca,balanced,0,일반 웹 서핑,3240,175.10204081632654,0.42857142857142855,0.00017852509336080402,0.2491854597939982
31,light_npca,balanced,0,일반 웹 서핑,3414,172.5531914893617,0.44680851063829785,0.00017704242782201618,0.23966063612616534
32,light_npca,balanced,0,일반 웹 서핑,4052,162.0,0.6,0.0002003093686653301,0.23095282274694745
33,light_npca,balanced,0,일반 웹 서핑,2966,169.1764705882353,0.45098039215686275,0.0001868926192400977,0.22299044287667302
34,light_npca,balanced,0,일반 웹 서핑,2521,182.51923076923077,0.46153846153846156,0.00019118601630907506,0.21438912807166055
35,light_npca,balanced,0,일반 웹 서핑,3457,166.38,0.5,0.00017770028110438338,0.20605934467356019
36,light_npca,balanced,0,일반 웹 서핑,3565,163.91836734693877,0.5102040816326531,0.00018259394467653087,0.19844824062178923
37,light_npca,balanced,0,일반 웹 서핑,3059,155.25,0.6071428571428571,0.00016744088012880334,0.19134961345701074
38,light_npca,balanced,0,일반 웹 서핑,3993,152.3673469387755,0.42857142857142855,0.00017038841421405473,0.1836515913665835
39,light_npca,balanced,0,일반 웹 서핑,3573,176.1086956521739,0.4782608695652174,0.00018369609218401214,0.1772605232534364
40,light_npca,balanced,0,일반 웹 서핑,3201,182.5531914893617,0.574468085106383,0.000170531250963298,0.17153913983737895
41,light_npca,balanced,0,일반 웹 서핑,2810,189.0212765957447,0.5531914893617021,0.00017909738138162842,0.1659589616328171
42,light_npca,balanced,0,일반 웹 서핑,4028,166.58695652173913,0.43478260869565216,0.00016424398442419866,0.16063498393153613
43,light_npca,balanced,0,일반 웹 서핑,3802,146.1818181818182,0.43636363636363634,0.00018323275435250252,0.15566105214091247
44,light_npca,balanced,0,일반 웹 서핑,3515,150.38181818181818,0.5272727272727272,0.0001595028443261981,0.1500066165685123
45,light_npca,balanced,0,일반 웹 서핑,3391,154.9433962264151,0.5094339622641509,0.00016496568180931112,0.14465477727917572
46,light_npca,balanced,0,일반 웹 서핑,3563,164.36,0.58,0.00016620561655145139,0.1397686988575338
47,light_npca,balanced,0,일반 웹 서핑,3968,180.65853658536585,0.43902439024390244,0.00018846531747840345,0.13539062775242977
48,light_npca,balanced,0,일반 웹 서핑,3399,168.83673469387756,0.46938775510204084,0.00019054436415899545,0.13196041194131106
49,light_npca,balanced,0,일반 웹 서핑,3468,173.46808510638297,0.46808510638297873,0.0001467880744409437,0.12804115763283241
50,light_npca,balanced,0,일반 웹 서핑,3657,164.53191489361703,0.3829787234042553,0.00016574807038220266,0.12445808499084898
51,light_npca,balanced,0,일반 웹 서핑,3318,158.16666666666666,0.5185185185185185,0.0001617100254710143,0.12103952053848177
52,light_npca,balanced,0,일반 웹 서핑,2970,181.7826086956522,0.43478260869565216,0.00015495547753137848,0.11730512258865156
53,light_npca,balanced,0,일반 웹 서핑,3626,169.0,0.5102040816326531,0.0001645197432177762,0.11427921634255239
54,light_npca,balanced,0,일반 웹 서핑,3200,189.27272727272728,0.38636363636363635,0.0001559631588558356,0.11120545683318614
