episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,light_npca,energy_saving,1,"배터리 절약, 저전력",4101,167.13953488372093,0.46511627906976744,0.0,0.9
1,light_npca,energy_saving,1,"배터리 절약, 저전력",3827,152.80769230769232,0.5384615384615384,0.0,0.8642246815569761
2,light_npca,energy_saving,1,"배터리 절약, 저전력",3462,152.25454545454545,0.5636363636363636,0.0025239691603928804,0.8229669942979967
3,light_npca,energy_saving,1,"배터리 절약, 저전력",4222,128.48275862068965,0.603448275862069,0.0019519518051917355,0.7816017799612992
4,light_npca,energy_saving,1,"배터리 절약, 저전력",3818,144.63636363636363,0.6545454545454545,0.001529656583443284,0.7403759812051482
5,light_npca,energy_saving,1,"배터리 절약, 저전력",3649,174.6888888888889,0.4888888888888889,0.0013084040256217122,0.7034306127144863
6,light_npca,energy_saving,1,"배터리 절약, 저전력",3360,168.55102040816325,0.6938775510204082,0.0011232327669858932,0.6746780203077084
7,light_npca,energy_saving,1,"배터리 절약, 저전력",3702,157.02,0.72,0.0009199815879886349,0.6448066230744194
8,light_npca,energy_saving,1,"배터리 절약, 저전력",3943,127.6,0.65,0.0007282556422675649,0.6157975617562931
9,light_npca,energy_saving,1,"배터리 절약, 저전력",3310,140.53333333333333,0.7833333333333333,0.0006054918630979955,0.5828480768505205
10,light_npca,energy_saving,1,"배터리 절약, 저전력",3637,132.890625,0.703125,0.00043651606150281924,0.5518174205663944
11,light_npca,energy_saving,1,"배터리 절약, 저전력",3410,153.96226415094338,0.7169811320754716,0.0004114125428410868,0.5207072493428926
12,light_npca,energy_saving,1,"배터리 절약, 저전력",3433,137.40983606557376,0.7377049180327869,0.00031515789063026506,0.4964093470073207
13,light_npca,energy_saving,1,"배터리 절약, 저전력",3678,142.01724137931035,0.7241379310344828,0.00025697011733427644,0.4699922881177204
14,light_npca,energy_saving,1,"배터리 절약, 저전력",3581,155.64150943396226,0.7169811320754716,0.00020766618642179915,0.44632570060614757
15,light_npca,energy_saving,1,"배터리 절약, 저전력",3245,157.2037037037037,0.7037037037037037,0.0001889549457700923,0.4258673728879139
16,light_npca,energy_saving,1,"배터리 절약, 저전력",3581,136.78333333333333,0.7,0.0001501694981319209,0.4061088168604931
17,light_npca,energy_saving,1,"배터리 절약, 저전력",2902,185.0625,0.6041666666666666,0.00015854584732248136,0.3853706538158609
18,light_npca,energy_saving,1,"배터리 절약, 저전력",4032,142.57692307692307,0.5769230769230769,0.0001528740928430731,0.36965310134617035
19,light_npca,energy_saving,1,"배터리 절약, 저전력",3754,149.21153846153845,0.5576923076923077,0.00015999262783831605,0.3534559164837753
20,light_npca,energy_saving,1,"배터리 절약, 저전력",3901,156.69387755102042,0.5918367346938775,0.00012574802531162277,0.33807946133231287
21,light_npca,energy_saving,1,"배터리 절약, 저전력",3696,165.9375,0.4791666666666667,0.0001499808179990699,0.32430382693433846
22,light_npca,energy_saving,1,"배터리 절약, 저전력",3206,173.2340425531915,0.425531914893617,0.0001340732075429211,0.3114482453757784
23,light_npca,energy_saving,1,"배터리 절약, 저전력",4021,145.03846153846155,0.5384615384615384,0.00016169351389786849,0.2994444760351453
24,light_npca,energy_saving,1,"배터리 절약, 저전력",3907,151.5686274509804,0.39215686274509803,0.00012621779508966333,0.28680484177466276
25,light_npca,energy_saving,1,"배터리 절약, 저전력",3704,153.66037735849056,0.4528301886792453,0.00016462799006452164,0.2750305902172683
26,light_npca,energy_saving,1,"배터리 절약, 저전력",3599,177.8,0.4,0.00016210649725204954,0.2634145139591518
27,light_npca,energy_saving,1,"배터리 절약, 저전력",3537,166.9591836734694,0.46938775510204084,0.000145152400364168,0.25402373793158406
28,light_npca,energy_saving,1,"배터리 절약, 저전력",3876,161.89795918367346,0.40816326530612246,0.00014522527635563165,0.2442675532690074
29,light_npca,energy_saving,1,"배터리 절약, 저전력",3436,168.60416666666666,0.3958333333333333,0.00013411785039352253,0.23497789833544797
