episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",4821,145.2608695652174,0.41304347826086957,0.0,0.9
1,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",4134,137.87272727272727,0.43636363636363634,0.0,0.8617856678621075
2,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",2845,197.8409090909091,0.3409090909090909,0.002350000742202004,0.8183430779529846
3,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3525,159.84313725490196,0.3333333333333333,0.001960664172656834,0.7852689491441301
4,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3720,145.8421052631579,0.3333333333333333,0.0015901834703981876,0.7487103994764586
5,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3300,194.4047619047619,0.2619047619047619,0.0011959864447514217,0.7099976995501772
6,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3692,205.05263157894737,0.3684210526315789,0.0010614579659886658,0.682851849346023
7,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",2951,197.88636363636363,0.25,0.000843535332630078,0.6592546650323442
8,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3244,194.5581395348837,0.3953488372093023,0.0008144369542909166,0.6330286628116172
9,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3154,195.6818181818182,0.25,0.0005637767802303036,0.6084897968427982
10,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3724,163.0612244897959,0.30612244897959184,0.0005584639729931951,0.5844490212970337
11,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",4224,180.05,0.25,0.0004744706772423039,0.5588922728648699
12,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3957,165.0,0.28888888888888886,0.00039548064038778347,0.5389383214347893
13,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3663,180.54545454545453,0.22727272727272727,0.0003533293541598444,0.5174238040633613
14,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3688,163.58333333333334,0.4583333333333333,0.00036098343358996016,0.4973030591155395
15,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3918,161.08333333333334,0.4583333333333333,0.0004457806159431736,0.4763396587061472
16,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3432,162.1764705882353,0.47058823529411764,0.0003881379282878091,0.4563587334839209
17,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3727,142.19298245614036,0.5789473684210527,0.00031081433796013397,0.43615403701434113
18,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3709,172.6888888888889,0.4444444444444444,0.0003123492157707612,0.41475881322568764
19,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",4362,155.32608695652175,0.45652173913043476,0.0004145448231914391,0.3987085069201874
20,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3773,157.7058823529412,0.5098039215686274,0.00039542354837370414,0.3830312566816501
21,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3958,186.075,0.425,0.00037250336026772857,0.36647249984518193
22,light_npca,latency_sensitive,0,"화상회의, 지연 최소화",3368,159.75,0.6153846153846154,0.0003704545524669811,0.35406343563338605
