episode,scenario,method,run,intent,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3518,156.0943396226415,0.5283018867924528,0.0,0.9
1,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3820,142.96296296296296,0.48148148148148145,0.0,0.8561230106099534
2,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3374,185.4318181818182,0.29545454545454547,0.0026831720024347305,0.8137468220417597
3,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3704,172.66666666666666,0.37777777777777777,0.002160393400117755,0.7808705438603247
4,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3674,180.37209302325581,0.2558139534883721,0.001599290136558314,0.7487103994764586
5,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3495,183.61363636363637,0.4090909090909091,0.0011966549791395664,0.7193026500167848
6,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3102,213.7,0.225,0.0009254263907981416,0.6904918196807597
7,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3964,173.1904761904762,0.30952380952380953,0.0006549898729038736,0.665377776212728
8,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3311,180.86363636363637,0.3409090909090909,0.0005721727308506767,0.640067153246282
9,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",2739,187.22448979591837,0.24489795918367346,0.000378451698149244,0.6146670974738843
10,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3498,168.85416666666666,0.4166666666666667,0.0002620339995094885,0.5876653547762589
11,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3280,204.125,0.4,0.0002064450915592412,0.5624670157782657
12,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3219,187.47727272727272,0.3409090909090909,0.00017935973301064223,0.5423728966736647
13,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3465,173.29787234042553,0.46808510638297873,0.00017484482668805867,0.521178192024331
14,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3254,149.42372881355934,0.559322033898305,0.00018586773755184063,0.4995451750298301
15,light_npca,throughput_hungry,2,"파일 다운로드, 속도 최대화",3241,154.72222222222223,0.5555555555555556,0.00015855400124564767,0.473789279542534
