episode,run,method,throughput,avg_option_duration,npca_switch_ratio,avg_loss,epsilon
0,1,drl_npca,4625,125.01818181818182,0.5818181818181818,0.0,0.9
1,1,drl_npca,3854,127.04615384615384,0.5230769230769231,0.0,0.8545123757604612
2,1,drl_npca,5382,98.18461538461538,0.6153846153846154,0.0004423813564547648,0.8038823712095838
3,1,drl_npca,4567,120.13333333333334,0.65,0.0002562033720702554,0.7564386412743068
4,1,drl_npca,3925,129.21875,0.59375,0.00019300456430452564,0.715298857505588
5,1,drl_npca,4922,115.96491228070175,0.7192982456140351,0.00013657473997833827,0.6740536545223239
6,1,drl_npca,4501,112.96875,0.59375,0.0001390676673812171,0.6394773810282924
7,1,drl_npca,4174,133.1864406779661,0.4576271186440678,0.00012069817360801001,0.6029327305148191
8,1,drl_npca,3636,146.5818181818182,0.38181818181818183,0.00013146824979533753,0.5712534279448384
9,1,drl_npca,4203,135.21428571428572,0.35714285714285715,0.00014104086828107634,0.5433586278696311
10,1,drl_npca,3756,164.72916666666666,0.3125,0.0001442886956889803,0.5164898906799225
11,1,drl_npca,4891,119.37931034482759,0.3275862068965517,0.00011717109009623528,0.49462727613712565
12,1,drl_npca,4092,146.71698113207546,0.22641509433962265,0.0001246898488413232,0.46957250575576553
13,1,drl_npca,4439,130.28070175438597,0.40350877192982454,0.00010550325047612812,0.44791417824588203
14,1,drl_npca,4051,127.0327868852459,0.3770491803278688,0.00010644676513038576,0.4258673728879139
15,1,drl_npca,3841,149.88235294117646,0.47058823529411764,0.00011341485515004024,0.4036247594865046
16,1,drl_npca,4950,107.96969696969697,0.6363636363636364,0.00010354334032551075,0.3860420663121848
17,1,drl_npca,4860,118.94736842105263,0.631578947368421,0.00012034911924274638,0.36457934997516706
18,1,drl_npca,4394,122.49152542372882,0.4915254237288136,0.0001086617266992107,0.34714978833171883
19,1,drl_npca,4311,132.8909090909091,0.5454545454545454,0.00010406772829204176,0.33012511691391067
