episode,reward,throughput
0,12.749999999999996,982
1,0.0,1179
2,0.0,1565
3,0.0,1589
4,0.0,1191
5,0.0,1665
6,0.0,998
7,396.05,1327
8,0.0,1708
9,0.0,1512
10,0.0,1164
11,0.0,1148
12,0.0,1074
13,0.0,1169
14,0.0,1635
15,0.0,1715
16,-3.35,1301
17,0.0,1527
18,0.0,1236
19,1023.5999999999999,1228
20,0.0,1814
21,177.99999999999997,1254
22,0.0,1198
23,0.0,1349
24,0.0,1260
25,0.0,1590
26,0.0,1332
27,0.0,1414
28,0.0,1404
29,0.0,1535
30,0.0,1227
31,521.15,1362
32,0.0,1505
33,0.0,1272
34,0.0,1664
35,0.0,2064
36,0.0,1439
37,0.0,1200
38,45.75,1208
39,0.0,1558
40,0.0,1162
41,0.0,1704
42,-2.1499999999999986,1165
43,1.5999999999999979,1139
44,0.0,1617
45,0.0,1863
46,0.0,1443
47,0.0,2055
48,0.0,1366
49,0.0,1272
