episode,reward,throughput
0,0.0,1364
1,0.0,1622
2,0.0,1193
3,318.5,1022
4,0.0,1440
5,25.25,1057
6,590.8000000000001,929
7,0.0,2045
8,0.0,1444
9,0.0,1174
10,-16.5,1110
11,0.0,1332
12,0.0,1404
13,481.24999999999994,1016
14,460.6,1513
15,57.29999999999999,1446
16,0.0,1524
17,194.5,1192
18,0.0,1558
19,0.0,1200
20,222.45,1149
21,0.0,1324
22,12.799999999999997,1048
23,0.0,1322
24,0.0,1825
25,0.0,1709
26,0.0,2152
27,0.0,1106
28,0.0,1256
29,191.0,1328
30,0.0,1259
31,533.55,1563
32,0.0,1795
33,0.0,1624
34,18.8,1527
35,0.0,1443
36,354.45,1057
37,0.0,1677
38,0.0,1471
39,742.0,1490
40,433.95,1459
41,0.0,1142
42,0.0,1224
43,0.0,1484
44,0.0,1610
45,772.5999999999999,1359
46,0.0,1721
47,413.70000000000005,1079
48,-5.800000000000004,1098
49,0.0,1225
