episode,reward,throughput
0,0.0,1292
1,491.59999999999997,1275
2,0.0,1158
3,0.0,1749
4,0.0,1305
5,0.0,1150
6,218.99999999999997,813
7,0.0,1211
8,0.0,1499
9,0.0,1417
10,0.0,1786
11,0.0,1349
12,0.0,1604
13,-45.150000000000006,1319
14,0.0,1563
15,0.0,1143
16,0.0,1802
17,0.0,1325
18,-43.85,1242
19,801.9,1039
20,501.5,1043
21,0.0,1418
22,0.0,1588
23,653.1499999999999,1206
24,0.0,1776
25,0.0,1257
26,0.0,1846
27,-44.6,1099
28,0.0,1379
29,0.0,1408
30,0.0,1272
31,0.0,1328
32,754.2999999999998,1092
33,0.0,1678
34,0.0,1719
35,0.0,1393
36,0.0,1074
37,0.0,1301
38,0.0,1390
39,261.59999999999997,1367
40,0.0,1612
41,0.0,1263
42,0.0,1469
43,0.0,1270
44,675.1500000000001,1516
45,0.0,1434
46,0.0,1401
47,425.15,1553
48,0.0,1673
49,718.9499999999999,1125
