episode,reward,throughput
0,0.0,1204
1,0.0,1714
2,408.5,1040
3,0.0,1300
4,0.0,1196
5,0.0,1433
6,0.0,1393
7,0.0,1518
8,0.0,1162
9,0.0,1599
10,780.6500000000001,1521
11,0.0,1394
12,0.0,1756
13,0.0,1391
14,0.0,1201
15,0.0,1283
16,0.0,1382
17,0.0,2005
18,347.5,996
19,0.0,1970
20,447.95000000000005,1364
21,0.0,1250
22,20.049999999999997,1368
23,0.0,1410
24,0.0,1359
25,760.5500000000001,1498
26,172.70000000000002,924
27,0.0,1277
28,0.0,1852
29,0.0,1528
30,0.0,1488
31,0.0,1686
32,0.0,1379
33,0.0,1583
34,0.0,1466
35,22.75,1297
36,418.44999999999993,1227
37,0.0,1651
38,0.0,1267
39,0.0,1155
40,632.0000000000001,1106
41,0.0,1166
42,0.0,1917
43,0.0,1126
44,0.0,1707
45,0.0,1567
46,0.0,1235
47,0.0,1767
48,0.0,1153
49,0.0,1260
