episode,reward,throughput
0,563.8,1284
1,0.0,1341
2,0.0,1172
3,0.0,1707
4,479.95000000000005,1181
5,0.0,1750
6,0.0,1648
7,0.0,1321
8,0.0,1244
9,173.35,928
10,0.0,1665
11,0.0,1640
12,550.75,1709
13,0.0,1352
14,113.1,1580
15,0.0,1236
16,-27.200000000000003,1161
17,13.549999999999997,1244
18,0.0,1275
19,0.0,1497
20,0.0,1846
21,0.0,1327
22,0.0,1495
23,306.6000000000001,1254
24,339.65000000000003,1202
25,0.0,1336
26,0.0,1513
27,0.0,1250
28,0.0,1683
29,-13.200000000000031,1110
30,54.2,1282
31,566.6999999999999,1577
32,0.0,1518
33,417.84999999999985,940
34,0.0,1576
35,0.0,1380
36,0.0,1310
37,0.0,1480
38,0.0,1333
39,0.0,1414
40,0.0,1664
41,0.0,1159
42,0.0,1831
43,487.5,1013
44,0.0,1286
45,0.0,1481
46,0.0,1141
47,0.0,1293
48,0.0,1533
49,481.25,1542
