obss_rate,baseline,seed,aggregate_throughput,mean_access_delay,packet_delivery_ratio
0.1,Legacy EDCA,42,421,419.6413301662708,1.0
0.1,Legacy EDCA,123,441,365.1451247165533,1.0
0.1,Legacy EDCA,456,471,327.5265392781316,1.0
0.1,ARQ-only NPCA,42,1767,106.71307300509338,0.9988694177501414
0.1,ARQ-only NPCA,123,1749,106.71412235563179,0.9971493728620296
0.1,ARQ-only NPCA,456,1742,107.51894374282433,0.9994262765347103
0.1,HARQ-only,42,389,412.88946015424165,1.0
0.1,HARQ-only,123,368,420.4157608695652,1.0
0.1,HARQ-only,456,494,330.7874493927126,1.0
0.1,Fixed-CW NPCA-HARQ,42,1806,102.7563676633444,1.0
0.1,Fixed-CW NPCA-HARQ,123,1798,105.7825361512792,1.0
0.1,Fixed-CW NPCA-HARQ,456,1805,102.86481994459834,0.9994462901439646
0.2,Legacy EDCA,42,258,586.8488372093024,1.0
0.2,Legacy EDCA,123,243,604.679012345679,1.0
0.2,Legacy EDCA,456,274,544.5802919708029,1.0
0.2,ARQ-only NPCA,42,1728,111.76041666666667,0.9971148297749567
0.2,ARQ-only NPCA,123,1761,111.49801249290176,0.9988655700510494
0.2,ARQ-only NPCA,456,1731,114.51877527440786,0.9994226327944573
0.2,HARQ-only,42,213,742.7793427230047,1.0
0.2,HARQ-only,123,252,609.0714285714286,1.0
0.2,HARQ-only,456,258,475.1821705426357,1.0
0.2,Fixed-CW NPCA-HARQ,42,1835,105.69046321525886,1.0
0.2,Fixed-CW NPCA-HARQ,123,1800,108.91833333333334,0.9994447529150472
0.2,Fixed-CW NPCA-HARQ,456,1818,105.72827282728272,0.9983525535420099
0.3,Legacy EDCA,42,139,763.31654676259,1.0
0.3,Legacy EDCA,123,168,913.5297619047619,1.0
0.3,Legacy EDCA,456,157,832.5095541401274,1.0
0.3,ARQ-only NPCA,42,1827,106.95347564313082,1.0
0.3,ARQ-only NPCA,123,1738,114.04775604142692,0.9994249568717654
0.3,ARQ-only NPCA,456,1770,111.7412429378531,0.9994353472614342
0.3,HARQ-only,42,139,763.31654676259,1.0
0.3,HARQ-only,123,150,1019.9133333333333,1.0
0.3,HARQ-only,456,157,832.5095541401274,1.0
0.3,Fixed-CW NPCA-HARQ,42,1875,104.03786666666667,0.9994669509594882
0.3,Fixed-CW NPCA-HARQ,123,1839,106.62533985861882,0.9994565217391305
0.3,Fixed-CW NPCA-HARQ,456,1819,107.28202308960968,0.9994505494505495
0.5,Legacy EDCA,42,59,1958.050847457627,1.0
0.5,Legacy EDCA,123,79,1772.4177215189873,1.0
0.5,Legacy EDCA,456,73,1682.4931506849316,1.0
0.5,ARQ-only NPCA,42,1734,116.05478662053056,0.998272884283247
0.5,ARQ-only NPCA,123,1766,112.52718006795017,0.9977401129943503
0.5,ARQ-only NPCA,456,1750,113.6,0.9971509971509972
0.5,HARQ-only,42,59,1958.050847457627,1.0
0.5,HARQ-only,123,79,1772.4177215189873,1.0
0.5,HARQ-only,456,73,1682.4931506849316,1.0
0.5,Fixed-CW NPCA-HARQ,42,1843,105.38198589256646,0.9983748645720477
0.5,Fixed-CW NPCA-HARQ,123,1826,108.54162102957284,0.9989059080962801
0.5,Fixed-CW NPCA-HARQ,456,1868,105.47591006423983,1.0
