W,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
30,10,0,15,42,0.4268595041322314,1629,267.62124002455494,8600
30,10,0,15,123,0.4471803018268467,1564,275.7774936061381,8790
30,10,0,15,456,0.45491470349309504,1650,260.7660606060606,8630
30,10,1,31,42,0.24427480916030533,1525,304.5868852459016,8678
30,10,1,31,123,0.2354480052321779,1500,305.32533333333333,8546
30,10,1,31,456,0.24677835051546393,1507,302.178500331785,8641
30,10,2,63,42,0.13068181818181818,1362,345.0844346549192,7296
30,10,2,63,123,0.1413141314131413,1361,345.9882439382807,7484
30,10,2,63,456,0.12,1386,333.18831168831167,7191
30,10,3,127,42,0.06472491909385113,1091,430.37580201649865,4786
30,10,3,127,123,0.040625,1114,427.30071813285457,4942
30,10,3,127,456,0.03459119496855346,1128,412.8767730496454,4753
30,10,4,255,42,0.006779661016949152,919,494.3917301414581,3720
30,10,4,255,123,0.01875,908,523.9966960352423,3800
30,10,4,255,456,0.008,881,529.1430192962542,2870
30,10,5,511,42,0.0,802,575.6907730673316,1519
30,10,5,511,123,0.0,794,564.4899244332494,2019
30,10,5,511,456,0.0,798,572.4586466165414,1624
30,20,0,15,42,0.7155657428630965,1580,405.3240506329114,17280
30,20,0,15,123,0.7242071457246085,1582,391.6055625790139,17400
30,20,0,15,456,0.7236326109391125,1568,403.6390306122449,16920
30,20,1,31,42,0.4449857896873731,1557,553.2825947334618,17414
30,20,1,31,123,0.4441213128375571,1619,540.437306979617,17081
30,20,1,31,456,0.473257698541329,1548,519.2971576227391,16772
30,20,2,63,42,0.20386266094420602,1376,665.7732558139535,15776
30,20,2,63,123,0.2599594868332208,1451,624.6878015161957,15230
30,20,2,63,456,0.2592096450100469,1417,641.3514467184192,15443
30,20,3,127,42,0.0924548352816153,1268,741.5772870662461,11344
30,20,3,127,123,0.09052183173588925,1240,750.0443548387096,11206
30,20,3,127,456,0.08562019758507135,1249,747.6421136909528,11060
30,20,4,255,42,0.03225806451612903,1061,879.5796418473138,7783
30,20,4,255,123,0.023762376237623763,1063,852.8871119473189,7134
30,20,4,255,456,0.04262877442273535,1068,865.5093632958801,8141
30,20,5,511,42,0.009478672985781991,865,952.6208092485549,5093
30,20,5,511,123,0.0,894,1000.4429530201343,4471
30,20,5,511,456,0.01951219512195122,882,1013.8401360544218,4904
30,30,0,15,42,0.8610083256244219,1439,413.99374565670604,25560
30,30,0,15,123,0.8624677220163915,1445,403.16262975778545,25770
30,30,0,15,456,0.8579040852575488,1455,429.3635738831615,25320
30,30,1,31,42,0.6003386960203217,1581,658.3674889310563,26329
30,30,1,31,123,0.6020028612303291,1612,688.7344913151364,25397
30,30,1,31,456,0.6337047353760445,1536,698.6809895833334,25167
30,30,2,63,42,0.3543467208947636,1480,871.3858108108108,24424
30,30,2,63,123,0.37086776859504134,1452,896.551652892562,23971
30,30,2,63,456,0.35793357933579334,1481,868.9459824442944,23772
30,30,3,127,42,0.1623931623931624,1319,1032.8339651250947,18322
30,30,3,127,123,0.15729349736379614,1258,1071.1780604133546,17845
30,30,3,127,456,0.13545454545454547,1290,1017.439534883721,17700
30,30,4,255,42,0.05539358600583091,1116,1191.6272401433691,12519
30,30,4,255,123,0.06385869565217392,1138,1172.9490333919157,12958
30,30,4,255,456,0.061813186813186816,1129,1193.7679362267493,13154
30,30,5,511,42,0.031055900621118012,952,1370.9758403361345,8013
30,30,5,511,123,0.006622516556291391,959,1313.5620437956204,7512
30,30,5,511,456,0.011904761904761904,939,1411.1267305644303,7890
30,50,0,15,42,0.9680091501455705,1304,275.75766871165644,42699
30,50,0,15,123,0.9694188589225367,1263,256.9319081551861,42850
30,50,0,15,456,0.9688873386815486,1285,273.0046692607004,42000
30,50,1,31,42,0.7991861011112851,1459,812.1158327621658,42295
30,50,1,31,123,0.7991925837320574,1489,800.8052384150436,43883
30,50,1,31,456,0.7895505435664449,1438,809.13421418637,42391
30,50,2,63,42,0.5207900207900208,1538,1182.5572171651495,40802
30,50,2,63,123,0.5303468208092486,1482,1231.9338731443995,38918
30,50,2,63,456,0.5177879535047551,1520,1285.1368421052632,40785
30,50,3,127,42,0.24438573315719947,1374,1533.071324599709,33161
30,50,3,127,123,0.2547231270358306,1335,1591.9243445692885,32860
30,50,3,127,456,0.23388203017832648,1342,1599.1147540983607,32039
30,50,4,255,42,0.10993657505285412,1205,1720.1917012448132,23393
30,50,4,255,123,0.10974358974358975,1183,1812.0980557903636,24280
30,50,4,255,456,0.11041666666666666,1238,1718.0856219709208,23770
30,50,5,511,42,0.03522504892367906,1003,2021.0538384845463,15593
30,50,5,511,123,0.05944055944055944,1038,1973.2755298651252,15680
30,50,5,511,456,0.024691358024691357,1019,1922.3464180569185,14596
50,10,0,15,42,0.45909303412809727,1415,285.1448763250883,5120
50,10,0,15,123,0.47924354243542433,1407,287.04051172707887,5060
50,10,0,15,456,0.48198814409484725,1436,278.5396935933148,5070
50,10,1,31,42,0.26119917298414885,1392,311.0955459770115,5110
50,10,1,31,123,0.2737617135207497,1343,318.03946388682056,5180
50,10,1,31,456,0.2783650458069063,1368,318.61842105263156,4920
50,10,2,63,42,0.13871817383669885,1291,348.03950426026336,5139
50,10,2,63,123,0.1504,1307,346.71843917368017,5447
50,10,2,63,456,0.1423487544483986,1295,342.42934362934363,4997
50,10,3,127,42,0.0594059405940594,1072,430.6483208955224,3420
50,10,3,127,123,0.06174496644295302,1082,420.91312384473196,3529
50,10,3,127,456,0.03927492447129909,1063,425.7873941674506,3373
50,10,4,255,42,0.02962962962962963,815,572.4699386503067,1874
50,10,4,255,123,0.006230529595015576,821,563.2204628501827,2207
50,10,4,255,456,0.013289036544850499,877,529.1231470923603,2026
50,10,5,511,42,0.0,744,608.2809139784946,1125
50,10,5,511,123,0.0,732,617.6379781420765,1282
50,10,5,511,456,0.0,717,652.0599721059972,1536
50,20,0,15,42,0.7365554799183118,1367,420.48646671543526,10340
50,20,0,15,123,0.752490255521871,1342,428.69448584202684,10320
50,20,0,15,456,0.7448907681465821,1359,428.906548933039,9800
50,20,1,31,42,0.4483087184373511,1370,590.5934306569343,10440
50,20,1,31,123,0.47571493418066274,1357,596.0022107590273,10480
50,20,1,31,456,0.481981981981982,1323,587.0438397581255,10380
50,20,2,63,42,0.252387448840382,1324,673.7794561933534,10589
50,20,2,63,123,0.2876892692560895,1301,687.9707916986933,10512
50,20,2,63,456,0.2661570535093815,1265,695.9628458498024,10171
50,20,3,127,42,0.09426627793974733,1191,772.7506297229219,8006
50,20,3,127,123,0.11694290976058933,1184,763.1993243243244,8091
50,20,3,127,456,0.0981169474727453,1198,731.3714524207012,7633
50,20,4,255,42,0.030405405405405407,992,919.9395161290323,5287
50,20,4,255,123,0.03859060402684564,993,927.3293051359517,5474
50,20,4,255,456,0.04727272727272727,1010,903.1584158415842,4855
50,20,5,511,42,0.0,800,1087.00625,3451
50,20,5,511,123,0.018518518518518517,805,1083.216149068323,2961
50,20,5,511,456,0.008097165991902834,845,1068.21775147929,3247
50,30,0,15,42,0.8719924143652957,1348,392.95029673590506,15210
50,30,0,15,123,0.886275739521271,1299,389.7190146266359,15689
50,30,0,15,456,0.8777500567022001,1271,416.4287962234461,15180
50,30,1,31,42,0.6139534883720931,1382,749.7431259044863,15540
50,30,1,31,123,0.6417370325693607,1288,762.5031055900621,15959
50,30,1,31,456,0.6109768726268554,1296,799.1651234567901,15060
50,30,2,63,42,0.3848702374378796,1331,913.305785123967,15643
50,30,2,63,123,0.38606911447084236,1319,913.1243366186505,15888
50,30,2,63,456,0.3755656108597285,1267,966.4648776637727,15319
50,30,3,127,42,0.15202702702702703,1280,1037.521875,12145
50,30,3,127,123,0.1854251012145749,1242,1059.4106280193237,12362
50,30,3,127,456,0.1891891891891892,1222,1102.778232405892,12545
50,30,4,255,42,0.04473684210526316,1108,1214.9539711191335,8584
50,30,4,255,123,0.06862745098039216,1078,1239.191094619666,9250
50,30,4,255,456,0.05714285714285714,1066,1201.5422138836773,8612
50,30,5,511,42,0.005780346820809248,866,1389.353348729792,5284
50,30,5,511,123,0.019417475728155338,823,1569.400972053463,4399
50,30,5,511,456,0.018867924528301886,859,1547.5052386495925,4654
50,50,0,15,42,0.9677747280675002,1206,253.74129353233832,24750
50,50,0,15,123,0.9675944876517942,1192,262.0713087248322,24900
50,50,0,15,456,0.967557187615807,1193,255.33109807208717,25400
50,50,1,31,42,0.8004640371229699,1318,881.9119878603946,25700
50,50,1,31,123,0.8063314711359404,1346,850.2793462109955,25900
