W,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
50,10,0,15,42,0.4358974358974359,148,241.27027027027026,490
50,10,1,31,42,0.26356589147286824,137,304.91970802919707,460
50,10,2,63,42,0.061855670103092786,135,323.22962962962964,469
50,10,3,127,42,0.07547169811320754,106,412.3207547169811,247
50,10,4,255,42,0.1111111111111111,85,406.90588235294115,126
50,10,5,511,42,0.0,75,426.24,57
50,30,0,15,42,0.8681462140992167,131,406.59541984732823,1410
50,30,1,31,42,0.5752895752895753,139,673.8345323741007,1470
50,30,2,63,42,0.3219178082191781,142,700.556338028169,1407
50,30,3,127,42,0.13,122,728.5737704918033,932
50,30,4,255,42,0.0,84,1020.5595238095239,526
50,30,5,511,42,0.0,93,784.6666666666666,152
170,10,0,15,42,0.5194174757281553,122,243.4672131147541,139
170,10,1,31,42,0.36507936507936506,114,326.280701754386,110
170,10,2,63,42,0.25252525252525254,122,280.844262295082,110
170,10,3,127,42,0.0,119,307.42857142857144,110
170,10,4,255,42,0.06896551724137931,101,362.6039603960396,130
170,10,5,511,42,0.0,81,410.9382716049383,39
170,30,0,15,42,0.8676880222841226,114,445.13157894736844,390
170,30,1,31,42,0.6930091185410334,127,614.4094488188977,420
170,30,2,63,42,0.4634146341463415,131,760.9618320610687,360
170,30,3,127,42,0.2595419847328244,124,764.3306451612904,450
170,30,4,255,42,0.16981132075471697,108,769.0925925925926,450
170,30,5,511,42,0.0,74,1067.7297297297298,119
500,10,0,15,42,0.45685279187817257,123,243.52845528455285,50
500,10,1,31,42,0.3170731707317073,128,257.5625,40
500,10,2,63,42,0.21138211382113822,116,279.07758620689657,50
500,10,3,127,42,0.08791208791208792,112,281.25892857142856,50
500,10,4,255,42,0.05128205128205128,107,293.10280373831773,30
500,10,5,511,42,0.0,81,380.61728395061726,50
500,30,0,15,42,0.7755102040816326,114,421.50877192982455,90
500,30,1,31,42,0.6440129449838188,118,564.8135593220339,150
500,30,2,63,42,0.4438202247191011,116,631.7931034482758,150
500,30,3,127,42,0.2894736842105263,118,797.0762711864406,120
500,30,4,255,42,0.13846153846153847,105,753.4,120
500,30,5,511,42,0.125,92,756.6304347826087,120
