part,W,ppdu_duration,W_avail,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count
1,170,20,150,10,0,15,42,0.5194174757281553,122,243.4672131147541,139
1,170,20,150,10,1,31,42,0.36507936507936506,114,326.280701754386,110
1,170,20,150,10,2,63,42,0.25252525252525254,122,280.844262295082,110
1,170,20,150,10,3,127,42,0.0,119,307.42857142857144,110
1,170,20,150,10,4,255,42,0.06896551724137931,101,362.6039603960396,130
1,170,20,150,10,5,511,42,0.0,81,410.9382716049383,39
1,170,20,150,30,0,15,42,0.8676880222841226,114,445.13157894736844,390
1,170,20,150,30,1,31,42,0.6930091185410334,127,614.4094488188977,420
1,170,20,150,30,2,63,42,0.4634146341463415,131,760.9618320610687,360
1,170,20,150,30,3,127,42,0.2595419847328244,124,764.3306451612904,450
1,170,20,150,30,4,255,42,0.16981132075471697,108,769.0925925925926,450
1,170,20,150,30,5,511,42,0.0,74,1067.7297297297298,119
1,170,50,120,10,0,15,42,0.5631067961165048,54,513.9074074074074,120
1,170,50,120,10,1,31,42,0.23404255319148937,61,504.3606557377049,110
1,170,50,120,10,2,63,42,0.18604651162790697,53,618.0188679245283,110
1,170,50,120,10,3,127,42,0.17142857142857143,56,658.8392857142857,110
1,170,50,120,10,4,255,42,0.0,54,539.5,90
1,170,50,120,10,5,511,42,0.0,29,906.2413793103449,8
1,170,50,120,30,0,15,42,0.8923076923076924,51,924.5882352941177,389
1,170,50,120,30,1,31,42,0.5853658536585366,63,1117.7460317460318,390
1,170,50,120,30,2,63,42,0.375,62,1221.9516129032259,420
1,170,50,120,30,3,127,42,0.35185185185185186,59,1073.6610169491526,360
1,170,50,120,30,4,255,42,0.26785714285714285,60,1136.3666666666666,419
1,170,50,120,30,5,511,42,0.0,43,1288.6511627906978,50
1,170,80,90,10,0,15,42,0.38461538461538464,38,757.1315789473684,149
1,170,80,90,10,1,31,42,0.15384615384615385,35,963.6285714285714,110
1,170,80,90,10,2,63,42,0.0,34,846.9117647058823,110
1,170,80,90,10,3,127,42,0.0,37,873.4864864864865,140
1,170,80,90,10,4,255,42,0.08333333333333333,34,936.8235294117648,116
1,170,80,90,10,5,511,42,0.0,20,1246.45,12
1,170,80,90,30,0,15,42,0.8387096774193549,41,1166.219512195122,420
1,170,80,90,30,1,31,42,0.5454545454545454,35,1488.1142857142856,330
1,170,80,90,30,2,63,42,0.2972972972972973,37,1381.3513513513512,389
1,170,80,90,30,3,127,42,0.14285714285714285,38,1435.6315789473683,389
1,170,80,90,30,4,255,42,0.0,36,1744.7777777777778,385
1,170,80,90,30,5,511,42,0.0,25,1859.8,72
2,100,20,80,30,0,15,42,0.8904109589041096,115,378.45217391304345,690
2,100,20,80,30,1,31,42,0.66189111747851,135,531.0444444444445,750
2,100,20,80,30,2,63,42,0.35294117647058826,134,638.1044776119403,660
2,100,20,80,30,3,127,42,0.192,116,829.7758620689655,750
2,100,20,80,30,4,255,42,0.03125,95,947.3263157894737,397
2,100,20,80,30,5,511,42,0.0,77,977.5974025974026,85
2,130,50,80,30,0,15,42,0.8563049853372434,59,906.9661016949152,510
2,130,50,80,30,1,31,42,0.6133333333333333,65,1225.8307692307692,600
2,130,50,80,30,2,63,42,0.3870967741935484,61,1131.639344262295,599
2,130,50,80,30,3,127,42,0.234375,65,1025.4153846153847,540
2,130,50,80,30,4,255,42,0.16326530612244897,46,1461.7391304347825,558
2,130,50,80,30,5,511,42,0.0,34,1402.5294117647059,52
2,160,80,80,30,0,15,42,0.8585858585858586,35,1086.6571428571428,420
2,160,80,80,30,1,31,42,0.5490196078431373,34,1550.5,360
2,160,80,80,30,2,63,42,0.41025641025641024,38,1801.657894736842,360
2,160,80,80,30,3,127,42,0.16666666666666666,36,1631.7777777777778,390
2,160,80,80,30,4,255,42,0.0,37,1739.7027027027027,383
2,160,80,80,30,5,511,42,0.0,29,1534.2068965517242,39
