part,tier,W,ppdu_duration,W_avail,K,num_stas,npca_qsrc,npca_cw,seed,collision_probability_npca,aggregate_throughput,mean_access_delay,npca_transition_count,avg_tx_per_visit
1,,30,20,10,0.5,30,0,15,42,0.8610083256244219,1439,413.99374565670604,25560,0.3383411580594679
1,,30,20,10,0.5,30,0,15,123,0.8624677220163915,1445,403.16262975778545,25770,0.34563445867287546
1,,30,20,10,0.5,30,0,15,456,0.8579040852575488,1455,429.3635738831615,25320,0.3335308056872038
1,,30,20,10,0.5,30,1,31,42,0.6003386960203217,1581,658.3674889310563,26329,0.13456644764328307
1,,30,20,10,0.5,30,1,31,123,0.6020028612303291,1612,688.7344913151364,25397,0.13761467889908258
1,,30,20,10,0.5,30,1,31,456,0.6337047353760445,1536,698.6809895833334,25167,0.14264711725672508
1,,30,20,10,0.5,30,2,63,42,0.3543467208947636,1480,871.3858108108108,24424,0.08053553881428104
1,,30,20,10,0.5,30,2,63,123,0.37086776859504134,1452,896.551652892562,23971,0.08076425681031246
1,,30,20,10,0.5,30,2,63,456,0.35793357933579334,1481,868.9459824442944,23772,0.07979976442873969
1,,30,20,10,0.5,30,3,127,42,0.1623931623931624,1319,1032.8339651250947,18322,0.06385765746097588
1,,30,20,10,0.5,30,3,127,123,0.15729349736379614,1258,1071.1780604133546,17845,0.06377136452787896
1,,30,20,10,0.5,30,3,127,456,0.13545454545454547,1290,1017.439534883721,17700,0.062146892655367235
1,,30,20,10,0.5,30,4,255,42,0.05539358600583091,1116,1191.6272401433691,12519,0.05479670900231648
1,,30,20,10,0.5,30,4,255,123,0.06385869565217392,1138,1172.9490333919157,12958,0.056798888717394656
1,,30,20,10,0.5,30,4,255,456,0.061813186813186816,1129,1193.7679362267493,13154,0.05534438193705337
1,,30,20,10,0.5,30,5,511,42,0.031055900621118012,952,1370.9758403361345,8013,0.04018469986272308
1,,30,20,10,0.5,30,5,511,123,0.006622516556291391,959,1313.5620437956204,7512,0.04020234291799787
1,,30,20,10,0.5,30,5,511,456,0.011904761904761904,939,1411.1267305644303,7890,0.04258555133079848
1,,50,20,30,1.5,30,0,15,42,0.8719924143652957,1348,392.95029673590506,15210,0.5547008547008547
1,,50,20,30,1.5,30,0,15,123,0.886275739521271,1299,389.7190146266359,15689,0.6097902989355599
1,,50,20,30,1.5,30,0,15,456,0.8777500567022001,1271,416.4287962234461,15180,0.5808959156785244
1,,50,20,30,1.5,30,1,31,42,0.6139534883720931,1382,749.7431259044863,15540,0.19369369369369369
1,,50,20,30,1.5,30,1,31,123,0.6417370325693607,1288,762.5031055900621,15959,0.20778244250892913
1,,50,20,30,1.5,30,1,31,456,0.6109768726268554,1296,799.1651234567901,15060,0.19236387782204514
1,,50,20,30,1.5,30,2,63,42,0.3848702374378796,1331,913.305785123967,15643,0.11577063223166911
1,,50,20,30,1.5,30,2,63,123,0.38606911447084236,1319,913.1243366186505,15888,0.11656596173212487
1,,50,20,30,1.5,30,2,63,456,0.3755656108597285,1267,966.4648776637727,15319,0.11541223317448919
1,,50,20,30,1.5,30,3,127,42,0.15202702702702703,1280,1037.521875,12145,0.09748867846850556
1,,50,20,30,1.5,30,3,127,123,0.1854251012145749,1242,1059.4106280193237,12362,0.09990292832874939
1,,50,20,30,1.5,30,3,127,456,0.1891891891891892,1222,1102.778232405892,12545,0.10027899561578318
1,,50,20,30,1.5,30,4,255,42,0.04473684210526316,1108,1214.9539711191335,8584,0.08853681267474371
1,,50,20,30,1.5,30,4,255,123,0.06862745098039216,1078,1239.191094619666,9250,0.08821621621621621
1,,50,20,30,1.5,30,4,255,456,0.05714285714285714,1066,1201.5422138836773,8612,0.08941012540640966
1,,50,20,30,1.5,30,5,511,42,0.005780346820809248,866,1389.353348729792,5284,0.06548069644208933
