obss_rate,baseline,seed,aggregate_throughput,mean_access_delay,packet_delivery_ratio
0.1,Legacy EDCA,42,1580,117.63101265822785,1.0
0.1,Legacy EDCA,123,1568,119.53443877551021,1.0
0.1,Legacy EDCA,456,1517,119.35530652603823,0.9993412384716732
0.1,ARQ-only NPCA,42,1627,110.32513829133374,1.0
0.1,ARQ-only NPCA,123,1641,108.08957952468008,0.9993909866017052
0.1,ARQ-only NPCA,456,1590,116.08364779874213,0.9993714644877436
0.1,HARQ-only,42,1598,116.30851063829788,1.0
0.1,HARQ-only,123,1608,112.90547263681592,1.0
0.1,HARQ-only,456,1596,111.45802005012531,1.0
0.1,Fixed-CW NPCA-HARQ,42,1645,107.68449848024316,0.9993924665856622
0.1,Fixed-CW NPCA-HARQ,123,1638,107.27594627594628,0.9993898718730934
0.1,Fixed-CW NPCA-HARQ,456,1658,107.49276236429434,0.9993972272453285
0.2,Legacy EDCA,42,1522,116.2095926412615,0.9986876640419947
0.2,Legacy EDCA,123,1490,130.2731543624161,1.0
0.2,Legacy EDCA,456,1499,118.05403602401601,0.9986675549633578
0.2,ARQ-only NPCA,42,1624,106.55357142857143,0.998769987699877
0.2,ARQ-only NPCA,123,1564,118.02493606138107,1.0
0.2,ARQ-only NPCA,456,1633,112.17881200244948,1.0
0.2,HARQ-only,42,1562,104.3572343149808,0.9980830670926517
0.2,HARQ-only,123,1533,118.18851924331376,0.999348109517601
0.2,HARQ-only,456,1564,113.8849104859335,1.0
0.2,Fixed-CW NPCA-HARQ,42,1676,102.28400954653938,0.9982132221560452
0.2,Fixed-CW NPCA-HARQ,123,1648,106.67293689320388,0.9993935718617344
0.2,Fixed-CW NPCA-HARQ,456,1702,104.74441833137486,1.0
0.3,Legacy EDCA,42,1510,120.59470198675497,1.0
0.3,Legacy EDCA,123,1436,126.33704735376044,0.9993041057759221
0.3,Legacy EDCA,456,1503,116.16101131071191,0.9993351063829787
0.3,ARQ-only NPCA,42,1563,117.61228406909788,1.0
0.3,ARQ-only NPCA,123,1637,104.8515577275504,1.0
0.3,ARQ-only NPCA,456,1636,104.15586797066015,0.9993891264508247
0.3,HARQ-only,42,1540,120.0603896103896,1.0
0.3,HARQ-only,123,1537,118.64216005204945,1.0
0.3,HARQ-only,456,1529,120.46827992151734,1.0
0.3,Fixed-CW NPCA-HARQ,42,1693,102.9669226225635,1.0
0.3,Fixed-CW NPCA-HARQ,123,1678,104.44100119189511,1.0
0.3,Fixed-CW NPCA-HARQ,456,1655,110.38549848942598,0.9993961352657005
0.5,Legacy EDCA,42,1340,135.2858208955224,1.0
0.5,Legacy EDCA,123,1288,145.61568322981367,1.0
0.5,Legacy EDCA,456,1312,136.4641768292683,1.0
0.5,ARQ-only NPCA,42,1622,111.41245376078915,1.0
0.5,ARQ-only NPCA,123,1617,108.92517006802721,1.0
0.5,ARQ-only NPCA,456,1621,109.61135101789019,1.0
0.5,HARQ-only,42,1391,123.65348670021567,0.9992816091954023
0.5,HARQ-only,123,1373,130.96649672250547,1.0
0.5,HARQ-only,456,1338,127.98953662182362,0.9992531740104555
0.5,Fixed-CW NPCA-HARQ,42,1724,100.11484918793504,0.9994202898550725
0.5,Fixed-CW NPCA-HARQ,123,1706,99.49706916764362,0.9988290398126464
0.5,Fixed-CW NPCA-HARQ,456,1711,97.19228521332555,0.9994158878504673
