num_stas,baseline,seed,mean_access_delay,per_sta_throughput
2,Legacy EDCA,42,490.8921568627451,51.0
2,Legacy EDCA,123,604.9042553191489,47.0
2,Legacy EDCA,456,521.7244897959183,49.0
2,ARQ-only NPCA,42,47.017252396166135,782.5
2,ARQ-only NPCA,123,47.97795071335927,771.0
2,ARQ-only NPCA,456,46.70498084291188,783.0
5,Legacy EDCA,42,763.31654676259,27.8
5,Legacy EDCA,123,913.5297619047619,33.6
5,Legacy EDCA,456,832.5095541401274,31.4
5,ARQ-only NPCA,42,106.95347564313082,365.4
5,ARQ-only NPCA,123,114.04775604142692,347.6
5,ARQ-only NPCA,456,111.7412429378531,354.0
10,Legacy EDCA,42,1459.6519337016575,18.1
10,Legacy EDCA,123,1564.4593301435407,20.9
10,Legacy EDCA,456,1733.63687150838,17.9
10,ARQ-only NPCA,42,223.03973509933775,181.2
10,ARQ-only NPCA,123,219.80939377389404,183.1
10,ARQ-only NPCA,456,215.54550350026926,185.7
15,Legacy EDCA,42,2007.6396396396397,14.8
15,Legacy EDCA,123,2440.9945355191257,12.2
15,Legacy EDCA,456,2631.0790960451977,11.8
15,ARQ-only NPCA,42,300.8346927678086,122.6
15,ARQ-only NPCA,123,287.7919608908202,122.73333333333333
15,ARQ-only NPCA,456,284.37946183415704,121.4
20,Legacy EDCA,42,2467.8839779005525,9.05
20,Legacy EDCA,123,2747.902564102564,9.75
20,Legacy EDCA,456,3316.345945945946,9.25
20,ARQ-only NPCA,42,321.94161756829135,93.35
20,ARQ-only NPCA,123,325.9114495205866,88.65
20,ARQ-only NPCA,456,315.3300438596491,91.2
