num_stas,method,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc
5,fixed_q0,42,1289,0.24949290060851928,165,0.0
5,fixed_q0,123,1252,0.24862888482632542,195,0.0
5,fixed_q0,456,1210,0.2972222222222222,250,0.0
5,fixed_q1,42,1245,0.12596401028277635,200,1.0
5,fixed_q1,123,1225,0.1446700507614213,169,1.0
5,fixed_q1,456,1243,0.15505226480836237,240,1.0
5,fixed_q2,42,1246,0.08383233532934131,183,2.0
5,fixed_q2,123,1180,0.1078838174273859,227,2.0
5,fixed_q2,456,1202,0.10191082802547771,265,2.0
5,oracle,42,1289,0.24949290060851928,165,0.0
5,oracle,123,1252,0.24862888482632542,195,0.0
5,oracle,456,1210,0.2972222222222222,250,0.0
5,adaptive,42,1289,0.24949290060851928,165,0.0
5,adaptive,123,1252,0.24862888482632542,195,0.0
5,adaptive,456,1210,0.2972222222222222,250,0.0
10,fixed_q0,42,1282,0.5100463678516228,350,0.0
10,fixed_q0,123,1275,0.4675925925925926,380,0.0
10,fixed_q0,456,1259,0.49933949801849403,390,0.0
10,fixed_q1,42,1237,0.30330882352941174,380,1.0
10,fixed_q1,123,1242,0.297244094488189,330,1.0
10,fixed_q1,456,1260,0.3147410358565737,350,1.0
10,fixed_q2,42,1247,0.1358695652173913,330,2.0
10,fixed_q2,123,1205,0.16367713004484305,326,2.0
10,fixed_q2,456,1263,0.21511627906976744,310,2.0
10,oracle,42,1282,0.5100463678516228,350,0.0
10,oracle,123,1275,0.4675925925925926,380,0.0
10,oracle,456,1259,0.49933949801849403,390,0.0
10,adaptive,42,1275,0.48324514991181655,300,0.25
10,adaptive,123,1252,0.45738942826321466,429,0.1445221445221445
10,adaptive,456,1251,0.47036082474226804,400,0.15
20,fixed_q0,42,1257,0.7117046347211312,660,0.0
20,fixed_q0,123,1238,0.7327852004110997,460,0.0
20,fixed_q0,456,1236,0.7197986577181208,720,0.0
20,fixed_q1,42,1210,0.5339966832504146,600,1.0
20,fixed_q1,123,1249,0.5328638497652582,700,1.0
20,fixed_q1,456,1250,0.5304964539007092,580,1.0
20,fixed_q2,42,1217,0.3515625,600,2.0
20,fixed_q2,123,1192,0.34833659491193736,647,2.0
20,fixed_q2,456,1216,0.32926829268292684,776,2.0
20,oracle,42,1257,0.7117046347211312,660,0.0
20,oracle,123,1238,0.7327852004110997,460,0.0
20,oracle,456,1236,0.7197986577181208,720,0.0
20,adaptive,42,1254,0.6316440049443758,616,0.7094155844155844
20,adaptive,123,1254,0.5946745562130178,699,0.7911301859799714
20,adaptive,456,1239,0.6451990632318502,559,0.5259391771019678
30,fixed_q0,42,1206,0.8266666666666667,750,0.0
30,fixed_q0,123,1224,0.8289817232375979,720,0.0
30,fixed_q0,456,1211,0.8234984193888304,990,0.0
30,fixed_q1,42,1232,0.6633663366336634,990,1.0
30,fixed_q1,123,1241,0.67008547008547,990,1.0
30,fixed_q1,456,1185,0.6630252100840336,1140,1.0
30,fixed_q2,42,1196,0.4474789915966387,689,2.0
30,fixed_q2,123,1231,0.44921875,797,2.0
30,fixed_q2,456,1218,0.4422187981510015,898,2.0
30,oracle,42,1232,0.6633663366336634,990,1.0
30,oracle,123,1241,0.67008547008547,990,1.0
30,oracle,456,1185,0.6630252100840336,1140,1.0
30,adaptive,42,1223,0.7229190421892816,654,0.9801223241590215
30,adaptive,123,1228,0.7000955109837631,832,1.1899038461538463
30,adaptive,456,1244,0.687442713107241,1101,1.0463215258855585
50,fixed_q0,42,1181,0.9254509018036072,950,0.0
50,fixed_q0,123,1210,0.9223394055608821,1150,0.0
50,fixed_q0,456,1182,0.931214953271028,1150,0.0
50,fixed_q1,42,1183,0.8292263610315186,1200,1.0
50,fixed_q1,123,1211,0.8306038894575231,1598,1.0
50,fixed_q1,456,1178,0.8291770573566085,1450,1.0
50,fixed_q2,42,1212,0.6062717770034843,1600,2.0
50,fixed_q2,123,1243,0.605830164765526,1629,2.0
50,fixed_q2,456,1154,0.5697674418604651,1445,2.0
50,oracle,42,1212,0.6062717770034843,1600,2.0
50,oracle,123,1243,0.605830164765526,1629,2.0
50,oracle,456,1154,0.5697674418604651,1445,2.0
50,adaptive,42,1211,0.8460471567267683,1136,1.1514084507042253
50,adaptive,123,1197,0.8184143222506394,1190,1.361344537815126
50,adaptive,456,1175,0.7720381807973049,1647,1.5871281117182756
