num_stas,method,seed,aggregate_throughput,collision_probability_npca,npca_transition_count,mean_qsrc
5,fixed_q0,42,127,0.24,15,0.0
5,fixed_q0,123,130,0.25,5,0.0
5,fixed_q0,456,123,0.38571428571428573,30,0.0
5,fixed_q1,42,116,0.19672131147540983,25,1.0
5,fixed_q1,123,127,0.12,20,1.0
5,fixed_q1,456,128,0.30612244897959184,30,1.0
5,fixed_q2,42,126,0.058823529411764705,15,2.0
5,fixed_q2,123,123,0.17142857142857143,15,2.0
5,fixed_q2,456,113,0.13636363636363635,40,2.0
5,oracle,42,127,0.24,15,0.0
5,oracle,123,130,0.25,5,0.0
5,oracle,456,123,0.38571428571428573,30,0.0
5,adaptive,42,127,0.0,10,1.4
5,adaptive,123,119,0.16666666666666666,10,2.4
5,adaptive,456,121,0.0,20,2.6
10,fixed_q0,42,127,0.5189873417721519,30,0.0
10,fixed_q0,123,126,0.4482758620689655,30,0.0
10,fixed_q0,456,126,0.5283018867924528,40,0.0
10,fixed_q1,42,125,0.43333333333333335,20,1.0
10,fixed_q1,123,123,0.3333333333333333,50,1.0
10,fixed_q1,456,119,0.36538461538461536,40,1.0
10,fixed_q2,42,120,0.10416666666666667,30,2.0
10,fixed_q2,123,113,0.24242424242424243,20,2.0
10,fixed_q2,456,124,0.0,50,2.0
10,oracle,42,127,0.5189873417721519,30,0.0
10,oracle,123,126,0.4482758620689655,30,0.0
10,oracle,456,126,0.5283018867924528,40,0.0
10,adaptive,42,127,0.40816326530612246,20,1.6
10,adaptive,123,123,0.23529411764705882,33,4.6
10,adaptive,456,103,0.391304347826087,44,5.0
20,fixed_q0,42,130,0.7222222222222222,40,0.0
20,fixed_q0,123,127,0.6752136752136753,60,0.0
20,fixed_q0,456,131,0.7352941176470589,40,0.0
20,fixed_q1,42,110,0.5,20,1.0
20,fixed_q1,123,121,0.5333333333333333,80,1.0
20,fixed_q1,456,120,0.5,100,1.0
20,fixed_q2,42,122,0.42424242424242425,40,2.0
20,fixed_q2,123,129,0.37142857142857144,40,2.0
20,fixed_q2,456,119,0.11764705882352941,120,2.0
20,oracle,42,130,0.7222222222222222,40,0.0
20,oracle,123,127,0.6752136752136753,60,0.0
20,oracle,456,131,0.7352941176470589,40,0.0
20,adaptive,42,127,0.5,40,2.6
20,adaptive,123,120,0.49206349206349204,80,4.85
20,adaptive,456,124,0.6216216216216216,40,2.65
30,fixed_q0,42,131,0.8112449799196787,90,0.0
30,fixed_q0,123,119,0.8292682926829268,30,0.0
30,fixed_q0,456,124,0.8333333333333334,150,0.0
30,fixed_q1,42,117,0.7204301075268817,60,1.0
30,fixed_q1,123,125,0.7380952380952381,60,1.0
30,fixed_q1,456,124,0.6455696202531646,120,1.0
30,fixed_q2,42,112,0.47761194029850745,60,2.0
30,fixed_q2,123,115,0.4,30,2.0
30,fixed_q2,456,130,0.21428571428571427,120,2.0
30,oracle,42,117,0.7204301075268817,60,1.0
30,oracle,123,125,0.7380952380952381,60,1.0
30,oracle,456,124,0.6455696202531646,120,1.0
30,adaptive,42,116,0.6785714285714286,30,0.9
30,adaptive,123,115,0.7111111111111111,60,2.066666666666667
30,adaptive,456,117,0.43478260869565216,109,4.6
50,fixed_q0,42,120,0.9193548387096774,50,0.0
50,fixed_q0,123,117,0.9342105263157895,50,0.0
50,fixed_q0,456,105,0.9478458049886621,200,0.0
50,fixed_q1,42,115,0.8652482269503546,100,1.0
50,fixed_q1,123,121,0.8166666666666667,200,1.0
50,fixed_q1,456,115,0.8,150,1.0
50,fixed_q2,42,118,0.4,50,2.0
50,fixed_q2,123,118,0.5294117647058824,100,2.0
50,fixed_q2,456,108,0.6229508196721312,200,2.0
50,oracle,42,118,0.4,50,2.0
50,oracle,123,118,0.5294117647058824,100,2.0
50,oracle,456,108,0.6229508196721312,200,2.0
50,adaptive,42,114,0.8043478260869565,100,2.84
50,adaptive,123,100,0.9019607843137255,50,0.94
50,adaptive,456,118,0.8166666666666667,100,2.34
