method,seed,tp_short,tp_long,tp_agg,jain_fairness,mean_qsrc_short,mean_qsrc_long,col_prob_npca
fixed_q0,42,371,448,819,0.9007251339483543,0.0,0.0,0.5314465408805031
fixed_q0,123,378,447,825,0.8404126588217862,0.0,0.0,0.5062034739454094
fixed_q0,456,422,421,843,0.8526798891328606,0.0,0.0,0.5185995623632386
fixed_q1,42,362,445,807,0.8175049897694037,1.0,1.0,0.36103151862464183
fixed_q1,123,366,453,819,0.8230903267765329,1.0,1.0,0.3034825870646766
fixed_q1,456,379,456,835,0.8925851010715246,1.0,1.0,0.33613445378151263
fixed_hetero,42,493,417,910,0.8913502109704642,0.0,1.0,0.388412017167382
fixed_hetero,123,472,428,900,0.8661804649571188,0.0,1.0,0.408
fixed_hetero,456,354,461,815,0.8781747028570673,0.0,1.0,0.41237113402061853
oracle_hetero,42,493,417,910,0.8913502109704642,0.0,1.0,0.388412017167382
oracle_hetero,123,472,428,900,0.8661804649571188,0.0,1.0,0.408
oracle_hetero,456,354,461,815,0.8781747028570673,0.0,1.0,0.41237113402061853
per_sta_adaptive,42,351,449,800,0.90495178303781,0.4,0.38181818181818183,0.4310850439882698
per_sta_adaptive,123,351,464,815,0.8548474279610301,0.18518518518518517,0.0,0.46859903381642515
per_sta_adaptive,456,437,426,863,0.910932129796108,0.06875,0.1375,0.4821002386634845
