method,snr_db,seed,aggregate_throughput,harq_success_rate,harq_tx_success,harq_tx_fail
arq_only_npca,6,42,1639,0.0,0,0
arq_only_npca,6,123,1610,0.0,0,0
arq_only_npca,6,456,1651,0.0,0,0
fixed_cw_npca_harq,6,42,1745,0.7194492254720836,418,163
fixed_cw_npca_harq,6,123,1725,0.700468018719656,449,192
fixed_cw_npca_harq,6,456,1754,0.6541471048503065,418,221
arq_only_npca,8,42,1054,0.0,0,0
arq_only_npca,8,123,1143,0.0,0,0
arq_only_npca,8,456,1043,0.0,0,0
fixed_cw_npca_harq,8,42,1417,0.6771159874601075,648,309
fixed_cw_npca_harq,8,123,1420,0.6869565217383837,632,288
fixed_cw_npca_harq,8,456,1429,0.689030883918329,647,292
arq_only_npca,10,42,1996,0.0,0,0
arq_only_npca,10,123,1969,0.0,0,0
arq_only_npca,10,456,1970,0.0,0,0
fixed_cw_npca_harq,10,42,2001,0.7335640138382922,212,77
fixed_cw_npca_harq,10,123,2000,0.7113402061831225,207,84
fixed_cw_npca_harq,10,456,2015,0.7173144876299742,203,80
arq_only_npca,12,42,1639,0.0,0,0
arq_only_npca,12,123,1610,0.0,0,0
arq_only_npca,12,456,1651,0.0,0,0
fixed_cw_npca_harq,12,42,1745,0.7194492254720836,418,163
fixed_cw_npca_harq,12,123,1725,0.700468018719656,449,192
fixed_cw_npca_harq,12,456,1754,0.6541471048503065,418,221
arq_only_npca,14,42,1054,0.0,0,0
arq_only_npca,14,123,1143,0.0,0,0
arq_only_npca,14,456,1043,0.0,0,0
fixed_cw_npca_harq,14,42,1417,0.6771159874601075,648,309
fixed_cw_npca_harq,14,123,1420,0.6869565217383837,632,288
fixed_cw_npca_harq,14,456,1429,0.689030883918329,647,292
arq_only_npca,16,42,1996,0.0,0,0
arq_only_npca,16,123,1969,0.0,0,0
arq_only_npca,16,456,1970,0.0,0,0
fixed_cw_npca_harq,16,42,2001,0.7335640138382922,212,77
fixed_cw_npca_harq,16,123,2000,0.7113402061831225,207,84
fixed_cw_npca_harq,16,456,2015,0.7173144876299742,203,80
arq_only_npca,18,42,1639,0.0,0,0
arq_only_npca,18,123,1610,0.0,0,0
arq_only_npca,18,456,1651,0.0,0,0
fixed_cw_npca_harq,18,42,1745,0.7194492254720836,418,163
fixed_cw_npca_harq,18,123,1725,0.700468018719656,449,192
fixed_cw_npca_harq,18,456,1754,0.6541471048503065,418,221
arq_only_npca,20,42,1054,0.0,0,0
arq_only_npca,20,123,1143,0.0,0,0
arq_only_npca,20,456,1043,0.0,0,0
fixed_cw_npca_harq,20,42,1417,0.6771159874601075,648,309
fixed_cw_npca_harq,20,123,1420,0.6869565217383837,632,288
fixed_cw_npca_harq,20,456,1429,0.689030883918329,647,292
arq_only_npca,25,42,1996,0.0,0,0
arq_only_npca,25,123,1969,0.0,0,0
arq_only_npca,25,456,1970,0.0,0,0
fixed_cw_npca_harq,25,42,2001,0.7335640138382922,212,77
fixed_cw_npca_harq,25,123,2000,0.7113402061831225,207,84
fixed_cw_npca_harq,25,456,2015,0.7173144876299742,203,80
arq_only_npca,30,42,2236,0.0,0,0
arq_only_npca,30,123,2212,0.0,0,0
arq_only_npca,30,456,2220,0.0,0,0
fixed_cw_npca_harq,30,42,2236,0.6666666666495727,26,13
fixed_cw_npca_harq,30,123,2212,0.6415094339501602,34,19
fixed_cw_npca_harq,30,456,2220,0.655737704907283,40,21
